,,WOOD,WET_BIOMASS,ENERGY_CROPS_2,BIOWASTE,BIOMASS_RESIDUES,WASTE
c_op_local,DE,0.019011963315581536,0.02305655897128535,0.02035239722672585,0.00018088467681844547,0.014772311876113307,0.00945525
c_op_local,DK,0.015274323543142213,0.02528788098622149,0.0,1.1762711258147892e-05,0.013969416732323148,0.00579773
c_op_local,EE,0.009753300259573884,0.013813755018704816,0.019508884545043598,1.1639101062142909e-05,0.008666820389557872,0.01335769
c_op_local,GR,0.01616147145731135,0.01581749999498086,0.03442613329983846,0.0002205312644447885,0.014312954011246055,0.00831838
c_op_local,ES,0.01890800631655636,0.017118966202358938,0.028525506937895222,5.7285727294302e-07,0.011979322057374947,0.00717225
c_op_local,FI,0.022084259272301746,0.033104312867772774,0.023524272180704093,0.00011209561515004175,0.013134893664403728,0.00607866
c_op_local,FR,0.01765660531100425,0.022640546993237323,0.01908294779649616,0.0001995611595386418,0.008161592390731009,0.00854573
c_op_local,HR,0.008602575963120185,0.014534755740736099,0.0,8.851050867935448e-05,0.009826153805055386,0.0062602
c_op_local,HU,0.008043216981677237,0.013062502303048259,0.012482177433434626,1.0679695055934265e-05,0.00983046828094632,0.00628278
c_op_local,IE,0.018241036221732367,0.021644564667282585,0.025466326529270226,9.648708133544748e-05,0.009331785070238735,0.00891927
c_op_local,IT,0.017458832276518097,0.017589037364748525,0.02958591295924541,0.00022053126444478852,0.01205662169149182,0.01191635
c_op_local,LT,0.009771912020739324,0.014201227514155809,0.016712983911103808,0.00010397591133977699,0.007664363075356272,0.00491252
c_op_local,LU,0.019966239035062727,0.021715668610360412,0.0,1.9582109524367713e-06,0.01773516110694095,0.01002601
c_op_local,LV,0.009088024179829332,0.0139567377159232,0.019953925115366544,4.738103786667492e-07,0.007996461543079703,0.00186901
c_op_local,ME,0.0045409636414357555,0.013976619846424775,0.018104766632904435,0.0,0.014216877109984285,0.0062602
c_op_local,MK,0.006022215542508334,0.013934097696379365,0.018104764265588595,0.00011357977031672542,0.011046922630948693,0.0062602
c_op_local,NL,0.01775536400422596,0.022539472207302673,0.027998338124680923,0.00013697180885783593,0.01269622340854985,0.00812027
c_op_local,NO,0.01588143681584094,0.026236528150291427,0.03638447335620032,1.0589289633676441e-05,0.012436698192518554,0.00995628
c_op_local,PL,0.01017248766440892,0.014196817587253736,0.017755086275532895,8.787071181451105e-06,0.008057786545534825,0.01314697
c_op_local,PT,0.019986427090180395,0.01529114405694079,0.019933281889354636,1.429639706756088e-05,0.011969259773749416,0.00771797
c_op_local,RO,0.007896661205353402,0.010344455353400698,0.012644193092914422,0.0003235397799115177,0.008451628761897721,0.00578225
c_op_local,RS,0.005080065631556084,0.015595457882222795,0.018078306012947062,0.0003235397799115177,0.010868023266350365,0.0062602
c_op_local,SE,0.022332312602933915,0.02533703470669025,0.03210778576316917,1.2246375060297575e-05,0.012436698192518554,0.00995628
c_op_local,SI,0.009242778284201317,0.015752564460052174,0.011861702155336273,0.0003627743615846136,0.011716884716314607,0.0062602
c_op_local,SK,0.008602849728355953,0.013018829596808534,0.01792934614791388,5.481196019061371e-05,0.01287353384099593,0.00659634
c_op_local,GB,0.018967384559485292,0.02369550429509806,0.03005023308004064,0.0001014028859686824,0.012774441491251416,0.00823738
c_op_local,XK,0.005080065631556084,0.015595457882222795,0.018078306012947062,0.0003235397799115177,0.010868023266350365,0.0062602
