;;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION
IE;SHIPPING;0;0;0;40.13490148
IE;NON_ENERGY;0;0;1.534355559;0
IT;ELECTRICITY;52.85024126;57.08233376;30.53669204;0
IT;HEAT_HIGH_T;0;0;120.4605274;0
IT;HEAT_LOW_T_SH;70.40280895;27.75130081;25.38934987;0
IT;HEAT_LOW_T_HW;16.95085169;20.27995317;20.7709281;0
IT;PROCESS_COOLING;0;0;15.14642454;0
IT;SPACE_COOLING;34.11104536;60.89538627;8.712911573;0
IT;MOBILITY_PASSENGER;0;0;0;639.6288278
IT;MOBILITY_FREIGHT;0;0;0;221.7905175
IT;AVIATION_LONG_HAUL;0;0;0;70.11908622
IT;SHIPPING;0;0;0;910.5261051
IT;NON_ENERGY;0;0;38.53485488;0
LT;ELECTRICITY;1.868949652;2.031672115;1.390570049;0
LT;HEAT_HIGH_T;0;0;3.40345205;0
LT;HEAT_LOW_T_SH;4.993222322;1.235811109;1.118958157;0
LT;HEAT_LOW_T_HW;1.214884146;0.814702941;1.973872023;0
LT;PROCESS_COOLING;0;0;0.464704677;0
LT;SPACE_COOLING;0.330526762;0.127378852;0.02898438;0
LT;MOBILITY_PASSENGER;0;0;0;23.37547675
LT;MOBILITY_FREIGHT;0;0;0;23.88188147
LT;AVIATION_LONG_HAUL;0;0;0;2.579101016
LT;SHIPPING;0;0;0;249.106165
LT;NON_ENERGY;0;0;5.450318083;0
LU;ELECTRICITY;0.652010642;0.75729736;0.935922074;0
LU;HEAT_HIGH_T;0;0;3.04922241;0
LU;HEAT_LOW_T_SH;2.033125798;0.454984227;0.587836211;0
LU;HEAT_LOW_T_HW;0.329153587;0.285757821;0.043604395;0
LU;PROCESS_COOLING;0;0;0.115612176;0
LU;SPACE_COOLING;0.174211755;0.092063465;0.067615057;0
LU;MOBILITY_PASSENGER;0;0;0;8.408501665
LU;MOBILITY_FREIGHT;0;0;0;2.442592009
LU;AVIATION_LONG_HAUL;0;0;0;1.5
LU;SHIPPING;0;0;0;0
LU;NON_ENERGY;0;0;0.238872722;0
LV;ELECTRICITY;1.32528705;1.597064989;0.147495542;0
LV;HEAT_HIGH_T;0;0;4.776964582;0
LV;HEAT_LOW_T_SH;3.175822505;0.821940192;0.919189393;0
LV;HEAT_LOW_T_HW;0.794168183;0.945269058;0.491496834;0
LV;PROCESS_COOLING;0;0;0.16900174;0
LV;SPACE_COOLING;0.2071991;0.223129867;0.023888735;0
LV;MOBILITY_PASSENGER;0;0;0;15.25286816
LV;MOBILITY_FREIGHT;0;0;0;21.36839658
LV;AVIATION_LONG_HAUL;0;0;0;1.68290419
LV;SHIPPING;0;0;0;97.81301225
LV;NON_ENERGY;0;0;0.599607589;0
ME;ELECTRICITY;0.424307306;0.308927464;0.168597623;0
ME;HEAT_HIGH_T;0;0;0.826010665;0
ME;HEAT_LOW_T_SH;0.638082885;0.158331666;0;0
ME;HEAT_LOW_T_HW;0.130279902;0.130202428;0.196385101;0
ME;PROCESS_COOLING;0;0;0.068099344;0
ME;SPACE_COOLING;0.182237153;0.144693042;0;0
ME;MOBILITY_PASSENGER;0;0;0;4.177975881
ME;MOBILITY_FREIGHT;0;0;0;1.392102889
ME;AVIATION_LONG_HAUL;0;0;0;0.460971212
ME;SHIPPING;0;0;0;18.4272003
ME;NON_ENERGY;0;0;0.157939892;0
MK;ELECTRICITY;1.141022467;1.050043473;1.073751185;0
MK;HEAT_HIGH_T;0;0;1.764049141;0
MK;HEAT_LOW_T_SH;2.548018885;0.677469684;0.689929274;0
MK;HEAT_LOW_T_HW;0.521570025;0.283503091;0.733932901;0
MK;PROCESS_COOLING;0;0;0.224957577;0
MK;SPACE_COOLING;0.67894339;0.132870322;0.060757202;0
MK;MOBILITY_PASSENGER;0;0;0;13.06627972
MK;MOBILITY_FREIGHT;0;0;0;2.995116911
MK;AVIATION_LONG_HAUL;0;0;0;1.441649967
MK;SHIPPING;0;0;0;0
MK;NON_ENERGY;0;0;2.94714203;0
NL;ELECTRICITY;13.06725812;25.61921193;15.72562296;0
NL;HEAT_HIGH_T;0;0;78.99456466;0
NL;HEAT_LOW_T_SH;45.97889052;20.73441575;13.4846943;0
NL;HEAT_LOW_T_HW;6.766865808;19.51579174;13.88713268;0
NL;PROCESS_COOLING;0;0;9.775390467;0
NL;SPACE_COOLING;3.664153395;17.84145259;0.265174405;0
NL;MOBILITY_PASSENGER;0;0;0;198.3614709
NL;MOBILITY_FREIGHT;0;0;0;100.0661899
NL;AVIATION_LONG_HAUL;0;0;0;32.51726903
NL;SHIPPING;0;0;0;1976.296497
NL;NON_ENERGY;0;0;58.29166313;0
NO;ELECTRICITY;6.710105982;8.31751065;15.5259533;0
NO;HEAT_HIGH_T;0;0;27.64887439;0
NO;HEAT_LOW_T_SH;24.14992813;7.050030231;3.291315144;0
NO;HEAT_LOW_T_HW;3.652222381;3.570590991;1.742920958;0
NO;PROCESS_COOLING;0;0;1.131017127;0
NO;SPACE_COOLING;1.227087632;1.474104465;0.060163595;0
NO;MOBILITY_PASSENGER;0;0;0;69.89000542
NO;MOBILITY_FREIGHT;0;0;0;45.05091394
NO;AVIATION_LONG_HAUL;0;0;0;7.786963484
NO;SHIPPING;0;0;0;136.328979
NO;NON_ENERGY;0;0;14.96661354;0
PL;ELECTRICITY;32.3970938;35.65946465;15.17803863;0
PL;HEAT_HIGH_T;0;0;80.82851936;0
PL;HEAT_LOW_T_SH;81.99995502;19.83444984;5.73336847;0
PL;HEAT_LOW_T_HW;18.19987174;25.0608652;13.48309075;0
PL;PROCESS_COOLING;0;0;7.252810271;0
PL;SPACE_COOLING;5.842264312;7.506470833;0.143698628;0
PL;MOBILITY_PASSENGER;0;0;0;372.8615628
PL;MOBILITY_FREIGHT;0;0;0;211.4310821
PL;AVIATION_LONG_HAUL;0;0;0;41.13916673
PL;SHIPPING;0;0;0;165.3524189
PL;NON_ENERGY;0;0;30.75384466;0
PT;ELECTRICITY;8.90657965;9.974321838;6.068676353;0
PT;HEAT_HIGH_T;0;0;21.94384085;0
PT;HEAT_LOW_T_SH;7.7200472;4.859983309;3.910139421;0
PT;HEAT_LOW_T_HW;2.776156272;3.623076583;2.865005575;0
PT;PROCESS_COOLING;0;0;1.443818011;0
PT;SPACE_COOLING;4.71225679;2.276059673;0.887212729;0
PT;MOBILITY_PASSENGER;0;0;0;103.1697017
PT;MOBILITY_FREIGHT;0;0;0;19.91286007
PT;AVIATION_LONG_HAUL;0;0;0;11.30994241
PT;SHIPPING;0;0;0;268.1445376
PT;NON_ENERGY;0;0;7.425373444;0
RO;ELECTRICITY;14.72769515;13.17217397;3.727910524;0
RO;HEAT_HIGH_T;0;0;30.13242802;0
RO;HEAT_LOW_T_SH;31.898227;7.092789201;3.925700444;0
RO;HEAT_LOW_T_HW;6.883719275;4.542918797;3.211353381;0
RO;PROCESS_COOLING;0;0;1.537560664;0
RO;SPACE_COOLING;5.091110772;0.403986203;0.115676168;0
RO;MOBILITY_PASSENGER;0;0;0;169.5025938
RO;MOBILITY_FREIGHT;0;0;0;41.99185735
RO;AVIATION_LONG_HAUL;0;0;0;18.70183511
RO;SHIPPING;0;0;0;66.63077327
RO;NON_ENERGY;0;0;6.526915884;0
RS;ELECTRICITY;5.565596619;5.404822669;1.172161656;0
RS;HEAT_HIGH_T;0;0;9.474496901;0
RS;HEAT_LOW_T_SH;12.05434133;2.910322014;1.234352461;0
RS;HEAT_LOW_T_HW;2.601357805;1.864056045;1.009741321;0
RS;PROCESS_COOLING;0;0;0.483453034;0
RS;SPACE_COOLING;1.923930976;0.165764117;0.036371895;0
RS;MOBILITY_PASSENGER;0;0;0;62.19820073
RS;MOBILITY_FREIGHT;0;0;0;15.4087198
RS;AVIATION_LONG_HAUL;0;0;0;6.862552769
RS;SHIPPING;0;0;0;0
RS;NON_ENERGY;0;0;11.71022292;0
SE;ELECTRICITY;15.95415178;13.35481968;30.33584431;0
SE;HEAT_HIGH_T;0;0;54.02257319;0
SE;HEAT_LOW_T_SH;37.31128781;9.934631901;6.430833703;0
SE;HEAT_LOW_T_HW;6.958257081;5.519499937;3.405457802;0
SE;PROCESS_COOLING;0;0;2.209871355;0
SE;SPACE_COOLING;1.958324656;2.819847342;0.117552425;0
SE;MOBILITY_PASSENGER;0;0;0;134.8481424
SE;MOBILITY_FREIGHT;0;0;0;77.57147835
SE;AVIATION_LONG_HAUL;0;0;0;14.78268038
SE;SHIPPING;0;0;0;128.2231692
SE;NON_ENERGY;0;0;12.40512818;0
SI;ELECTRICITY;1.657056835;2.03760502;3.698742397;0
SI;HEAT_HIGH_T;0;0;4.604917111;0
SI;HEAT_LOW_T_SH;3.778503039;1.422786692;0.989366195;0
SI;HEAT_LOW_T_HW;0.846167597;0.81051134;0.506659664;0
SI;PROCESS_COOLING;0;0;0.251477729;0
SI;SPACE_COOLING;0.452247771;0.721184535;0.079066257;0
SI;MOBILITY_PASSENGER;0;0;0;22.34565812
