;;Category;Subcategory;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
ELECTRICITY_VAR;MK;Electricity;variable;1878.29;2752.04;3512.73;0.0;[GWh]
ELECTRICITY_VAR;NL;Electricity;variable;10107.24;18422.51;21971.09;0.0;[GWh]
ELECTRICITY_VAR;NO;Electricity;variable;19603.08;14090.93;32133.85;0.0;[GWh]
ELECTRICITY_VAR;PL;Electricity;variable;11919.9;20674.61;37404.83;0.0;[GWh]
ELECTRICITY_VAR;PT;Electricity;variable;9063.79;11859.53;10955.59;0.0;[GWh]
ELECTRICITY_VAR;RO;Electricity;variable;4335.47;3052.77;10537.06;0.0;[GWh]
ELECTRICITY_VAR;RS;Electricity;variable;1878.29;2752.04;3512.73;0.0;[GWh]
ELECTRICITY_VAR;SE;Electricity;variable;19603.08;14090.93;32133.85;0.0;[GWh]
ELECTRICITY_VAR;SI;Electricity;variable;2194.28;2345.71;6759.59;0.0;[GWh]
ELECTRICITY_VAR;SK;Electricity;variable;1653.07;3375.37;5233.42;0.0;[GWh]
ELECTRICITY_VAR;GB;Electricity;variable;55842.27;62029.61;100043.89;0.0;[GWh]
HEAT_HIGH_T;AL;Heat;high temperature;0.0;0.0;5108.05;0.0;[GWh]
HEAT_HIGH_T;AT;Heat;high temperature;0.0;0.0;51374.75;0.0;[GWh]
HEAT_HIGH_T;BA;Heat;high temperature;0.0;0.0;5108.05;0.0;[GWh]
HEAT_HIGH_T;BE;Heat;high temperature;0.0;0.0;61932.4;0.0;[GWh] 
HEAT_HIGH_T;BG;Heat;high temperature;0.0;0.0;16269.65;0.0;[GWh]
HEAT_HIGH_T;CH;Heat;high temperature;0.0;0.0;19021.0;0.0;[GWh]
HEAT_HIGH_T;CZ;Heat;high temperature;0.0;0.0;40735.99;0.0;[GWh]
HEAT_HIGH_T;DE;Heat;high temperature;0.0;0.0;272141.17;0.0;[GWh]
HEAT_HIGH_T;DK;Heat;high temperature;0.0;0.0;10536.29;0.0;[GWh]
HEAT_HIGH_T;EE;Heat;high temperature;0.0;0.0;3279.76;0.0;[GWh]
HEAT_HIGH_T;GR;Heat;high temperature;0.0;0.0;13766.15;0.0;[GWh]
HEAT_HIGH_T;ES;Heat;high temperature;0.0;0.0;91758.76;0.0;[GWh]
HEAT_HIGH_T;FI;Heat;high temperature;0.0;0.0;29883.53;0.0;[GWh]
HEAT_HIGH_T;FR;Heat;high temperature;0.0;0.0;125275.55;0.0;[GWh]
HEAT_HIGH_T;HR;Heat;high temperature;0.0;0.0;5108.05;0.0;[GWh]
HEAT_HIGH_T;HU;Heat;high temperature;0.0;0.0;9765.03;0.0;[GWh]
HEAT_HIGH_T;IE;Heat;high temperature;0.0;0.0;9849.77;0.0;[GWh]
HEAT_HIGH_T;IT;Heat;high temperature;0.0;0.0;82164.05;0.0;[GWh]
HEAT_HIGH_T;LT;Heat;high temperature;0.0;0.0;4883.91;0.0;[GWh]
HEAT_HIGH_T;LU;Heat;high temperature;0.0;0.0;543.49;0.0;[GWh]
HEAT_HIGH_T;LV;Heat;high temperature;0.0;0.0;5398.27;0.0;[GWh]
HEAT_HIGH_T;ME;Heat;high temperature;0.0;0.0;5108.05;0.0;[GWh]
HEAT_HIGH_T;MK;Heat;high temperature;0.0;0.0;5108.05;0.0;[GWh]
HEAT_HIGH_T;NL;Heat;high temperature;0.0;0.0;52925.62;0.0;[GWh]
HEAT_HIGH_T;NO;Heat;high temperature;0.0;0.0;58261.51;0.0;[GWh]
HEAT_HIGH_T;PL;Heat;high temperature;0.0;0.0;82105.71;0.0;[GWh]
HEAT_HIGH_T;PT;Heat;high temperature;0.0;0.0;27576.63;0.0;[GWh]
HEAT_HIGH_T;RO;Heat;high temperature;0.0;0.0;41837.24;0.0;[GWh]
HEAT_HIGH_T;RS;Heat;high temperature;0.0;0.0;5108.05;0.0;[GWh]
HEAT_HIGH_T;SE;Heat;high temperature;0.0;0.0;58261.51;0.0;[GWh]
HEAT_HIGH_T;SI;Heat;high temperature;0.0;0.0;4585.6;0.0;[GWh]
HEAT_HIGH_T;SK;Heat;high temperature;0.0;0.0;25885.17;0.0;[GWh]
HEAT_HIGH_T;GB;Heat;high temperature;0.0;0.0;63485.0;0.0;[GWh]
HEAT_LOW_T_SH;AL;Heat;space heating;13658.21;5446.4;1328.61;0.0;[GWh]
HEAT_LOW_T_SH;AT;Heat;space heating;47056.06;19688.38;13362.59;0.0;[GWh]
HEAT_LOW_T_SH;BA;Heat;space heating;13658.21;5446.4;1328.61;0.0;[GWh]
HEAT_LOW_T_SH;BE;Heat;space heating;48562.1;31455.2;16110.7;0.0;[GWh] 
HEAT_LOW_T_SH;BG;Heat;space heating;15768.92;5627.46;4231.74;0.0;[GWh]
HEAT_LOW_T_SH;CH;Heat;space heating;29489.0;14525.0;4948.0;0.0;[GWh]
HEAT_LOW_T_SH;CZ;Heat;space heating;53155.08;25496.83;10595.45;0.0;[GWh]
HEAT_LOW_T_SH;DE;Heat;space heating;431815.53;193129.29;70784.03;0.0;[GWh]
HEAT_LOW_T_SH;DK;Heat;space heating;31557.61;18059.37;2740.49;0.0;[GWh]
HEAT_LOW_T_SH;EE;Heat;space heating;7985.48;3038.49;853.07;0.0;[GWh]
HEAT_LOW_T_SH;GR;Heat;space heating;22868.4;5683.0;3580.58;0.0;[GWh]
HEAT_LOW_T_SH;ES;Heat;space heating;93157.8;70520.27;23866.49;0.0;[GWh]
HEAT_LOW_T_SH;FI;Heat;space heating;36980.7;25067.07;7772.72;0.0;[GWh]
HEAT_LOW_T_SH;FR;Heat;space heating;271879.99;158277.44;32584.22;0.0;[GWh]
HEAT_LOW_T_SH;HR;Heat;space heating;13658.21;5446.4;1328.61;0.0;[GWh]
HEAT_LOW_T_SH;HU;Heat;space heating;41023.99;24142.84;2539.89;0.0;[GWh]
HEAT_LOW_T_SH;IE;Heat;space heating;20582.83;8567.63;2561.93;0.0;[GWh]
HEAT_LOW_T_SH;IT;Heat;space heating;275292.47;100967.95;21370.9;0.0;[GWh]
HEAT_LOW_T_SH;LT;Heat;space heating;9486.44;3518.42;1270.31;0.0;[GWh]
HEAT_LOW_T_SH;LU;Heat;space heating;5255.16;4514.56;141.36;0.0;[GWh]
HEAT_LOW_T_SH;LV;Heat;space heating;10085.88;4805.35;1404.09;0.0;[GWh]
HEAT_LOW_T_SH;ME;Heat;space heating;13658.21;5446.4;1328.61;0.0;[GWh]
HEAT_LOW_T_SH;MK;Heat;space heating;13658.21;5446.4;1328.61;0.0;[GWh]
HEAT_LOW_T_SH;NL;Heat;space heating;78651.94;64317.93;13765.98;0.0;[GWh]
HEAT_LOW_T_SH;NO;Heat;space heating;41967.79;27197.71;15153.84;0.0;[GWh]
HEAT_LOW_T_SH;PL;Heat;space heating;173375.29;80055.2;21355.73;0.0;[GWh]
HEAT_LOW_T_SH;PT;Heat;space heating;17295.61;8803.87;7172.69;0.0;[GWh]
HEAT_LOW_T_SH;RO;Heat;space heating;65168.22;16645.3;10881.88;0.0;[GWh]
HEAT_LOW_T_SH;RS;Heat;space heating;13658.21;5446.4;1328.61;0.0;[GWh]
HEAT_LOW_T_SH;SE;Heat;space heating;41967.79;27197.71;15153.84;0.0;[GWh]
HEAT_LOW_T_SH;SI;Heat;space heating;7377.98;2917.97;1192.72;0.0;[GWh]
HEAT_LOW_T_SH;SK;Heat;space heating;16235.59;11915.05;6732.74;0.0;[GWh]
