unit	tra_meas	partner	geo\time	2019
PAS	PAS_BRD	EE	SI	212
PAS	PAS_BRD	EE	SK	10
PAS	PAS_BRD	EE	UK	230057
PAS	PAS_BRD	GR	AT	1231511
PAS	PAS_BRD	GR	BE	1105705
PAS	PAS_BRD	GR	BG	263111
PAS	PAS_BRD	GR	CY	1693102
PAS	PAS_BRD	GR	CZ	924553
PAS	PAS_BRD	GR	DE	8112026
PAS	PAS_BRD	GR	DK	1043721
PAS	PAS_BRD	GR	EE	66349
PAS	PAS_BRD	GR	ES	914215
PAS	PAS_BRD	GR	EU27_2007	38099813
PAS	PAS_BRD	GR	EU27_2020	30095984
PAS	PAS_BRD	GR	EU28	38199597
PAS	PAS_BRD	GR	FI	626365
PAS	PAS_BRD	GR	FR	2790592
PAS	PAS_BRD	GR	HR	99784
PAS	PAS_BRD	GR	HU	436092
PAS	PAS_BRD	GR	IE	210170
PAS	PAS_BRD	GR	IT	3797301
PAS	PAS_BRD	GR	LT	155110
PAS	PAS_BRD	GR	LU	84237
PAS	PAS_BRD	GR	LV	98993
PAS	PAS_BRD	GR	MT	93455
PAS	PAS_BRD	GR	NL	2184692
PAS	PAS_BRD	GR	PL	1985156
PAS	PAS_BRD	GR	PT	125473
PAS	PAS_BRD	GR	RO	546799
PAS	PAS_BRD	GR	SE	1218575
PAS	PAS_BRD	GR	SI	50890
PAS	PAS_BRD	GR	SK	238007
PAS	PAS_BRD	GR	UK	8103613
PAS	PAS_BRD	ES	AT	2599885
PAS	PAS_BRD	ES	BE	6168878
PAS	PAS_BRD	ES	BG	515693
PAS	PAS_BRD	ES	CY	1376
PAS	PAS_BRD	ES	CZ	1284404
PAS	PAS_BRD	ES	DE	28747159
PAS	PAS_BRD	ES	DK	3117055
PAS	PAS_BRD	ES	EE	67081
PAS	PAS_BRD	ES	GR	906487
PAS	PAS_BRD	ES	EU27_2007	149318556
PAS	PAS_BRD	ES	EU27_2020	105060202
PAS	PAS_BRD	ES	EU28	149676614
PAS	PAS_BRD	ES	FI	1746494
PAS	PAS_BRD	ES	FR	13928271
PAS	PAS_BRD	ES	HR	358058
PAS	PAS_BRD	ES	HU	1048458
PAS	PAS_BRD	ES	IE	4676437
PAS	PAS_BRD	ES	IT	16244029
PAS	PAS_BRD	ES	LT	265703
PAS	PAS_BRD	ES	LU	574354
PAS	PAS_BRD	ES	LV	233528
PAS	PAS_BRD	ES	MT	375958
PAS	PAS_BRD	ES	NL	8737147
PAS	PAS_BRD	ES	PL	2333149
PAS	PAS_BRD	ES	PT	5669629
PAS	PAS_BRD	ES	RO	1804428
PAS	PAS_BRD	ES	SE	3533458
PAS	PAS_BRD	ES	SI	6507
PAS	PAS_BRD	ES	SK	116576
PAS	PAS_BRD	ES	UK	44616412
PAS	PAS_BRD	EU27_2007	AT	24029111
PAS	PAS_BRD	EU27_2007	BE	24863100
PAS	PAS_BRD	EU27_2007	BG	9086248
PAS	PAS_BRD	EU27_2007	CY	7531180
PAS	PAS_BRD	EU27_2007	CZ	12720366
PAS	PAS_BRD	EU27_2007	DE	121892522
PAS	PAS_BRD	EU27_2007	DK	23217489
PAS	PAS_BRD	EU27_2007	EE	2522429
PAS	PAS_BRD	EU27_2007	GR	37707836
PAS	PAS_BRD	EU27_2007	ES	151786664
PAS	PAS_BRD	EU27_2007	EU27_2007	521052918
PAS	PAS_BRD	EU27_2007	FI	13863032
PAS	PAS_BRD	EU27_2007	FR	75641490
PAS	PAS_BRD	EU27_2007	HR	8329847
PAS	PAS_BRD	EU27_2007	HU	12597118
PAS	PAS_BRD	EU27_2007	IE	31152375
PAS	PAS_BRD	EU27_2007	IT	94709491
PAS	PAS_BRD	EU27_2007	LT	4677228
PAS	PAS_BRD	EU27_2007	LU	3937260
PAS	PAS_BRD	EU27_2007	LV	5324876
PAS	PAS_BRD	EU27_2007	MT	6566541
PAS	PAS_BRD	EU27_2007	NL	50655786
PAS	PAS_BRD	EU27_2007	PL	32016320
PAS	PAS_BRD	EU27_2007	PT	38592571
PAS	PAS_BRD	EU27_2007	RO	17045636
PAS	PAS_BRD	EU27_2007	SE	22907905
PAS	PAS_BRD	EU27_2007	SI	1022013
PAS	PAS_BRD	EU27_2007	SK	1949248
PAS	PAS_BRD	EU27_2007	UK	169257669
PAS	PAS_BRD	EU27_2020	AT	21982191
PAS	PAS_BRD	EU27_2020	BE	23484454
PAS	PAS_BRD	EU27_2020	BG	7169767
PAS	PAS_BRD	EU27_2020	CY	4408542
PAS	PAS_BRD	EU27_2020	CZ	10486462
PAS	PAS_BRD	EU27_2020	DE	109859676
PAS	PAS_BRD	EU27_2020	DK	19887562
PAS	PAS_BRD	EU27_2020	EE	2300590
PAS	PAS_BRD	EU27_2020	GR	30022645
PAS	PAS_BRD	EU27_2020	ES	107334441
PAS	PAS_BRD	EU27_2020	EU27_2020	355399837
PAS	PAS_BRD	EU27_2020	FI	12595020
PAS	PAS_BRD	EU27_2020	FR	63895354
PAS	PAS_BRD	EU27_2020	HR	6526229
PAS	PAS_BRD	EU27_2020	HU	10005010
PAS	PAS_BRD	EU27_2020	IE	18152670
PAS	PAS_BRD	EU27_2020	IT	79010221
PAS	PAS_BRD	EU27_2020	LT	3531069
