{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
226;0.00011101495145565152;9.2927e-05;0.0;0.0001644775488145;0.0001141552511415;0.00308642;0.74539632;0.0;0.11188215;0.075;0.0;0.0;0.0001
227;0.00011227633071279745;9.2605e-05;0.0;0.0001879743415023;0.0001141552511415;0.01748971;0.74539632;0.0;0.10542975;0.075;0.0;0.0;0.0001
228;0.00011320887462223533;9.3141e-05;0.0;0.0002067717756526;0.0001141552511415;0.03257888;0.72698159;0.0;0.11943024;0.075;0.0;0.0;0.0001
229;0.00011295229560705378;9.3663e-05;0.0;0.0001879743415023;0.0001141552511415;0.03463649;0.75580464;0.0;0.19345021;0.075;0.0;0.0;0.0001
230;0.00011199144746544787;9.443e-05;0.0;0.0001903240207711;0.0001141552511415;0.0366941;0.76060849;0.0;0.12174336;0.075;0.0;0.05183657;0.0001
231;0.00011125887410685553;9.4215e-05;0.0;0.0002138208134589;0.0001141552511415;0.03052126;0.76060849;0.0;0.08120282;0.075;0.0;0.0;0.0001
232;0.0001107187925385765;9.2865e-05;0.0;0.000223219530534;0.0001141552511415;0.02229081;0.75980785;0.0;0.0651327;0.075;0.0;0.0;0.0001
233;0.00011109779311077742;9.509e-05;0.0;0.000223219530534;0.0001141552511415;0.00925926;0.71497198;0.0;0.07755052;0.075;0.0;0.0;0.0001
234;0.00011299831874879037;0.00011136;0.0;0.0001644775488145;0.0001141552511415;0.0;0.59967974;0.0;0.10299489;0.075;0.0;0.0;0.0001
235;0.00011381753067170188;0.00013401;0.0;0.0001174839634389;0.0001141552511415;0.0;0.51080865;0.0;0.2027027;0.075;0.0;0.0;0.0001
236;0.00011341482818150662;0.00014915;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.44195356;0.0;0.24993913;0.075;0.0;0.0;0.0001
237;0.00011165835497712921;0.00016228;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.38670937;0.0;0.14657901;0.075;0.0;0.0;0.0001
238;0.00011014120210978216;0.0001763;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.33947158;0.0;0.08302897;0.075;0.0;0.0;0.0001
239;0.00011234870210317824;0.00019093;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.2866293;0.0;0.18066715;0.075;0.0;0.0;0.0001
240;0.00011152638361819952;0.00020512;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.30184147;0.0;0.36096908;0.075;0.0;0.0;0.0001
241;0.00010925468134208087;0.00021754;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.3202562;0.0;0.20026784;0.06666667;0.0;0.0;0.0001
242;0.0001078675438501397;0.00022552;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.41793435;0.0;0.09325542;0.06666667;0.0;0.0;0.0001
243;0.00010688241850126776;0.00023164;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.42273819;0.0;0.06306306;0.06666667;0.0;0.0;0.0001
244;0.00010602995485845155;0.0002352;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.48038431;0.0;0.05429754;0.06666667;0.0;0.0;0.0001
245;0.00010586473177961716;0.00024048;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.52441954;0.0;0.04358412;0.075;0.0;0.0;0.0001
246;0.00010619632851582936;0.0002431;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.59247398;0.0;0.04419284;0.075;0.0;0.0;0.0001
247;0.00010300266765287227;0.00023825;0.0;0.0001821001433304;0.0001141552511415;0.0;0.60528423;0.0;0.055028;0.075;0.0;0.0;0.0001
248;0.00010410595741815294;0.00023325;0.0;0.0001586033506426;0.0001141552511415;0.0;0.63971177;0.0;0.06038471;0.075;0.0;0.0;0.0001
249;0.0001046001309025497;0.0002235;0.0;0.0001468549542987;0.0001141552511415;0.0;0.66373098;0.0;0.05648892;0.075;0.0;0.10558971;0.0001
250;0.00010582239048921948;0.00021176;0.0;0.0001644775488145;0.0001141552511415;0.01406036;0.66132906;0.0;0.06038471;0.075;0.0;0.36516257;0.0001
251;0.00010736750241517154;0.00020486;0.0;0.0001879743415023;0.0001141552511415;0.0781893;0.64531625;0.0;0.08522036;0.075;0.0;0.05086714;0.0001
252;0.00010892906761429441;0.0001996;0.0;0.0002067717756526;0.0001141552511415;0.13580247;0.66453163;0.0;0.14256148;0.075;0.0;0.60057771;0.0001
253;0.00010876096808910149;0.00019659;0.0;0.0001879743415023;0.0001141552511415;0.17421125;0.68454764;0.0;0.18602386;0.075;0.0;0.370656;0.0001
254;0.0001075933609832439;0.00019736;0.0;0.0001903240207711;0.0001141552511415;0.17043896;0.70456365;0.0;0.09069881;0.075;0.0;0.06426086;0.0001
255;0.00010721401523747997;0.00020237;0.0;0.0002138208134589;0.0001141552511415;0.14746228;0.68694956;0.0;0.05721938;0.075;0.0;0.22437257;0.0001
256;0.00010716948784784981;0.00020685;0.0;0.000223219530534;0.0001141552511415;0.07750343;0.63170536;0.0;0.05332359;0.075;0.0;0.05461114;0.0001
257;0.00010766711306787681;0.00020897;0.0;0.000223219530534;0.0001141552511415;0.0154321;0.57245797;0.0;0.06379352;0.075;0.0;0.0;0.0001
258;0.0001100600863224714;0.00021437;0.0;0.0001644775488145;0.0001141552511415;0.0;0.57245797;0.0;0.1504748;0.075;0.0;0.0;0.0001
259;0.00011137117057269283;0.00021836;0.0;0.0001174839634389;0.0001141552511415;0.0;0.64051241;0.0;0.5311663;0.075;0.0;0.0;0.0001
260;0.00011071154389375298;0.00021836;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.67654123;0.0;0.58108108;0.075;0.0;0.0;0.0001
261;0.00010988473815245494;0.00021531;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.683747;0.0;0.38750913;0.075;0.0;0.0;0.0001
262;0.00010867743608684955;0.00021011;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.6541233;0.0;0.1962503;0.075;0.0;0.0;0.0001
263;0.00011172129162345402;0.00020989;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.67493995;0.0;0.24701729;0.075;0.0;0.0;0.0001
264;0.00010982870497739064;0.0002119;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.70296237;0.0;0.32042854;0.075;0.0;0.0;0.0001
265;0.00010820604405761242;0.00021399;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.68294636;0.0;0.13659606;0.075;0.0;0.0;0.0001
266;0.00010733459586882986;0.00021481;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.6501201;0.0;0.07962016;0.075;0.0;0.0;0.0001
267;0.00010659580938610307;0.00021489;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.67654123;0.0;0.06099343;0.075;0.0;0.0;0.0001
268;0.00010632645894908961;0.00021419;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.70776621;0.0;0.05308011;0.075;0.0;0.0;0.0001
269;0.00010630574853530814;0.00021334;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.72858287;0.0;0.06221086;0.075;0.0;0.0;0.0001
270;0.00010780955469155159;0.00021317;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.7253803;0.0;0.09276844;0.075;0.0;0.0;0.0001
271;0.00010929368595470264;0.00021152;0.0;0.0001821001433304;0.0001141552511415;0.0;0.75020016;0.0;0.19515461;0.075;0.0;0.0;0.0001
272;0.00011354484355691251;0.00021112;0.0;0.0001586033506426;0.0001141552511415;0.0;0.76461169;0.0;0.63416119;0.075;0.0;0.0;0.0001
273;0.00011595185386973676;0.000208;0.0;0.0001468549542987;0.0001141552511415;0.0;0.76541233;0.0;0.7669832;0.075;0.0;0.0;0.0001
274;0.00011675610827158386;0.00020247;0.0;0.0001644775488145;0.0001141552511415;0.00308642;0.75020016;0.0;0.77538349;0.075;0.0;0.0;0.0001
275;0.00011738892647046214;0.0001965;0.0;0.0001879743415023;0.0001141552511415;0.01954733;0.76781425;0.0;0.65619674;0.075;0.0;0.0;0.0001
276;0.00011849808418631423;0.00019187;0.0;0.0002067717756526;0.0001141552511415;0.03429355;0.75980785;0.0;0.59155101;0.075;0.0;0.0;0.0001
277;0.00011768232399903295;0.00018888;0.0;0.0001879743415023;0.0001141552511415;0.04080933;0.75420336;0.0;0.50913075;0.06666667;0.0;0.0;0.0001
278;0.00011719447869662499;0.00018753;0.0;0.0001903240207711;0.0001141552511415;0.04252401;0.77101681;0.0;0.39566594;0.075;0.0;0.0;0.0001
279;0.00011668247124480528;0.00018726;0.0;0.0002138208134589;0.0001141552511415;0.03806584;0.75180144;0.0;0.32055028;0.125;0.0;0.0;0.0001
280;0.00011589202378547917;0.00018795;0.0;0.000223219530534;0.0001141552511415;0.02537723;0.74619696;0.0;0.20233747;0.125;0.0;0.0;0.0001
281;0.00011601283453253775;0.00018774;0.0;0.000223219530534;0.0001141552511415;0.00548697;0.73819055;0.0;0.24920867;0.13333333;0.0;0.0;0.0001
282;0.00011740733572715676;0.00018903;0.0;0.0001644775488145;0.0001141552511415;0.0;0.73178543;0.0;0.42074507;0.13333333;0.0;0.0;0.0001
283;0.0001177697679683325;0.00019503;0.0;0.0001174839634389;0.0001141552511415;0.0;0.75420336;0.0;0.76467008;0.13333333;0.0;0.0;0.0001
284;0.00011651103504183647;0.00020006;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.74779824;0.0;0.72498174;0.13333333;0.0;0.0;0.0001
285;0.00011400507497427851;0.00020231;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.73258607;0.0;0.43072803;0.13333333;0.0;0.0;0.0001
286;0.00011179377807168916;0.0002005;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.74939952;0.0;0.22729486;0.13333333;0.0;0.0;0.0001
287;0.00011338261198229098;0.00020237;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.74619696;0.0;0.27806185;0.13333333;0.0;0.0;0.0001
288;0.00011171864529280417;0.0002076;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.73899119;0.0;0.26966155;0.13333333;0.0;0.0;0.0001
289;0.00010974701390080816;0.00021389;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.76140913;0.0;0.17117117;0.13333333;0.0;0.0;0.0001
290;0.0001084594014528724;0.00021423;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.75740592;0.0;0.11297784;0.13333333;0.0;0.0;0.0001
291;0.00010840325321995375;0.00020601;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.76541233;0.0;0.12503044;0.13333333;0.0;0.0;0.0001
292;0.0001087011380048439;0.00020058;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.7213771;0.0;0.10153397;0.13333333;0.0;0.0;0.0001
293;0.0001086617882186591;0.00019639;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.72858287;0.0;0.06805454;0.13333333;0.0;0.0;0.0001
294;0.00010919197481146476;0.00019639;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.77181745;0.0;0.09800341;0.13333333;0.0;0.0;0.0001
295;0.00010997034119608502;0.0002017;0.0;0.0001821001433304;0.0001141552511415;0.0;0.77902322;0.0;0.20014609;0.13333333;0.0;0.0;0.0001
296;0.000113964804725259;0.00019935;0.0;0.0001586033506426;0.0001141552511415;0.0;0.75660528;0.0;0.53019235;0.13333333;0.0;0.0;0.0001
297;0.00011566075749825275;0.00018788;0.0;0.0001468549542987;0.0001141552511415;0.0;0.76220977;0.0;0.7192598;0.13333333;0.0;0.06335829;0.0001
298;0.00011626481123354564;0.00016579;0.0;0.0001644775488145;0.0001141552511415;0.02366255;0.74459568;0.0;0.78914049;0.13333333;0.0;0.0;0.0001
299;0.00011689187653970683;0.00013539;0.0;0.0001879743415023;0.0001141552511415;0.04972565;0.71176942;0.0;0.66362308;0.13333333;0.0;0.00667457;0.0001
300;0.00011751318895315095;0.00011373;0.0;0.0002067717756526;0.0001141552511415;0.04595336;0.683747;0.0;0.6221086;0.125;0.0;0.0;0.0001
301;0.0001169655135664854;0.00010428;0.0;0.0001879743415023;0.0001141552511415;0.03840878;0.67814251;0.0;0.57937667;0.13333333;0.0;0.00301971;0.0001
302;0.00011696666414502881;0.00010124;0.0;0.0001903240207711;0.0001141552511415;0.03463649;0.64451561;0.0;0.49391283;0.14166667;0.0;0.0;0.0001
303;0.00011720483390351572;0.00010762;0.0;0.0002138208134589;0.0001141552511415;0.04458162;0.57245797;0.0;0.35305576;0.10833333;0.0;0.0;0.0001
304;0.0001168734672830122;0.00012362;0.0;0.000223219530534;0.0001141552511415;0.03497942;0.52041633;0.0;0.24811298;0.13333333;0.0;0.01713771;0.0001
305;0.00011700578381550494;0.00013911;0.0;0.000223219530534;0.0001141552511415;0.01303155;0.54763811;0.0;0.23252983;0.13333333;0.0;0.0;0.0001
306;0.00011818052450833168;0.00015005;0.0;0.0001644775488145;0.0001141552511415;0.0;0.52121697;0.0;0.46481617;0.13333333;0.0;0.0;0.0001
307;0.00011838647806760296;0.00015309;0.0;0.0001174839634389;0.0001141552511415;0.0;0.5652522;0.0;0.68614561;0.13333333;0.0;0.0;0.0001
