{PERIODS};Electricity (%_elec);Space Heating (%_sh);Space Cooling (%_sc);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_dam;Hydro_river;Tidal;Solar
168;0.000161558;0.000248116;0;9.39872E-06;0.000114155;0;0.329906905;0.8491;0.175553932;0.479154547;0.001337349;0
169;0.000147787;0.00024695;0;5.8742E-06;0.000114155;0;0.336792087;0.8451;0.121743365;0.458793872;0.048895233;0
170;0.00013655;0.000245436;0;2.34968E-06;0.000114155;0;0.338440652;0.8331;0.133552471;0.455497382;0.210818396;0
171;0.000131074;0.000243207;0;1.17484E-06;0.000114155;0;0.357350659;0.8257;0.118456294;0.450358736;0.26897707;0
172;0.000116574;0.000241305;0;1.40981E-05;0.000114155;0;0.373157486;0.7834;0.096177258;0.445220089;0.168072964;0
173;0.000112042;0.00024016;0;3.75949E-05;0.000114155;0;0.397788984;0.7215;0.10165571;0.43882102;0.049205256;0
174;0.0001236;0.000238401;0;9.39872E-05;0.000114155;0;0.417668736;0.7508;0.137570002;0.456951716;0.001461357;0
175;0.000153083;0.000235599;0;0.0001821;0.000114155;0;0.445791311;0.7966;0.470903336;0.505138647;0.007491584;0
176;0.000184652;0.000231181;0;0.000158603;0.000114155;0.010337587;0.471586501;0.8242;0.540784027;0.532867947;0.086104907;0
177;0.00019875;0.000213489;0;0.000146855;0.000114155;0.059925699;0.50155159;0.8842;0.469929389;0.543436106;0.119124453;0.003922286
178;0.000203563;0.00019234;0;0.000164478;0.000114155;0.150864158;0.52579519;0.953;0.453250548;0.527826256;0.074899628;0.018151714
179;0.000207216;0.000171417;0;0.000187974;0.000114155;0.218381522;0.548002327;0.9504;0.4348673;0.529086678;0.024690862;0.149916
180;0.0002112;0.000153909;0;0.000206772;0.000114155;0.240348894;0.567203258;0.9429;0.393474556;0.533352725;0.001337349;0.053552571
181;0.000212754;0.000142599;0;0.000187974;0.000114155;0.230011307;0.580391777;0.9038;0.308132457;0.517258096;0.041521966;0.002562857
182;0.00020739;0.00013771;0;0.000190324;0.000114155;0.184461315;0.569530644;0.7704;0.24202581;0.492437464;0.182031959;0
183;0.000197125;0.000142333;0;0.000213821;0.000114155;0.112098207;0.50329713;0.4961;0.199902605;0.490207485;0.231479158;0
184;0.00018024;0.000162172;0;0.00022322;0.000114155;0.038927475;0.439197052;0.3926;0.177258339;0.48943184;0.145418301;0
