{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
6824;0.00019508;0.00014422;0.0;0.00015860335064263727;0.00011415525114155251;0.46457;0.024;0.1999;0.2149906;0.09238777;0.0;0.45355886;0.0001
6825;0.00019646;0.00011718;0.0;0.00014685495429873823;0.00011415525114155251;0.63385;0.0306;0.162;0.2149906;0.07221861;0.0;0.63994543;0.0001
6826;0.00018899;9.7238e-05;0.0;0.0001644775488145868;0.00011415525114155251;0.68118;0.0337;0.1899;0.2149906;0.10279766;0.0;0.77796086;0.0001
6827;0.00017802;8.6593e-05;0.0;0.00018797434150238492;0.00011415525114155251;0.68474;0.0335;0.2078;0.2149906;0.10344828;0.0;0.62973857;0.0001
6828;0.00018164;8.1037e-05;0.0;0.00020677177565262342;0.00011415525114155251;0.2328;0.0331;0.2336;0.2149906;0.10995446;0.0;0.16302;0.0001
6829;0.00017716;7.9676e-05;0.0;0.00018797434150238492;0.00011415525114155251;0.05781;0.0355;0.256;0.2149906;0.06636304;0.0;0.00488057;0.0001
6830;0.00017245;8.2987e-05;0.0;0.00019032402077116473;0.00011415525114155251;0.02534;0.0429;0.28;0.2149906;0.05855563;0.0;0.0;0.0001
6831;0.00016416;9.6968e-05;0.0;0.00021382081345896285;0.00011415525114155251;0.0051;0.0601;0.3255;0.2149906;0.05855563;0.0;0.0;0.0001
6832;0.00015448;0.00012053;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.0772;0.4068;0.2149906;0.05855563;0.0;0.0;0.0001
6833;0.00016453;0.00013151;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.093;0.4664;0.2149906;0.03578399;0.0;0.0;0.0001
6834;0.0001815;0.00013728;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.1031;0.4792;0.2149906;0.03383214;0.0;0.0;0.0001
6835;0.0001721;0.00014346;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.1067;0.4734;0.2149906;0.0325309;0.0;0.0;0.0001
