nuts2_code;biomass_production_twh_medium_total;biomass_production_twh_low_total;biomass_production_twh_high_total;biomass_production_twh_medium_agri&landscape _residues;biomass_production_twh_low_agri&landscape _residues;biomass_production_twh_high_agri&landscape _residues;biomass_production_twh_medium_energy_crops;biomass_production_twh_low_energy_crops;biomass_production_twh_high_energy_crops;biomass_production_twh_medium_forestry;biomass_production_twh_low_forestry;biomass_production_twh_high_forestry;wind_onshore_capacity_gw_medium;wind_onshore_capacity_gw_low;wind_onshore_capacity_gw_high;wind_onshore_production_twh_medium;wind_onshore_production_twh_low;wind_onshore_production_twh_high;wind_onshore_land_use_percentage_medium;wind_onshore_land_use_percentage_low;wind_onshore_land_use_percentage_high;solar_capacity_gw_medium_total;solar_capacity_gw_low_total;solar_capacity_gw_high_total;solar_capacity_gw_medium_pv_roof;solar_capacity_gw_low_pv_roof;solar_capacity_gw_high_pv_roof;solar_capacity_gw_medium_pv_ground;solar_capacity_gw_low_pv_ground;solar_capacity_gw_high_pv_ground;solar_capacity_gw_medium_csp;solar_capacity_gw_low_csp;solar_capacity_gw_high_csp;solar_production_twh_medium_total;solar_production_twh_low_total;solar_production_twh_high_total;solar_production_twh_medium_pv_roof;solar_production_twh_low_pv_roof;solar_production_twh_high_pv_roof;solar_production_twh_medium_pv_ground;solar_production_twh_low_pv_ground;solar_production_twh_high_pv_ground;solar_production_twh_medium_csp;solar_production_twh_low_csp;solar_production_twh_high_csp
BE32;4.953227;3.905447;6.526461;1.233106;0.305717;2.182244;3.576836;3.456444;4.023419;0.143286;0.143286;0.320797;2.360151801;0.078671727;2.362774192;4.6518592;0.155061973;4.657027932;0.123245525;0.004108184;0.123382464;14.69;7.34;25.92;3.26;1.63;5.76;11.42;5.71;20.16;0;0;0;13.57;6.79;23.95;3.01;1.51;5.32;10.56;5.28;18.63;0;0;0
BE33;4.184045;3.272867;6.765461;1.342881;0.501214;2.152047;2.035983;1.966472;2.584028;0.805181;0.805181;2.029386;0.435558825;0.024607843;0.435558825;0.858486443;0.048502059;0.858486443;0.022685355;0.001281659;0.022685355;10.21;5.11;18.02;2.68;1.34;4.74;7.53;3.76;13.28;0;0;0;9.08;4.54;16.02;2.39;1.19;4.21;6.69;3.35;11.81;0;0;0
BE34;3.259344;2.301928;6.404253;1.635847;0.708819;2.584847;0.422617;0.392228;0.842647;1.200881;1.200881;2.976758;0.689248367;0.068496732;0.689248367;1.358508532;0.135007059;1.358508532;0.030956585;0.003076431;0.030956585;7.02;3.51;12.4;0.71;0.36;1.25;6.31;3.16;11.14;0;0;0;6.12;3.06;10.8;0.62;0.31;1.09;5.5;2.75;9.71;0;0;0
BE35;4.063974;3.010293;6.058758;1.366231;0.467314;2.176147;2.237525;2.082761;2.783528;0.460218;0.460218;1.099083;0.780955884;0.043970588;0.780955884;1.539264047;0.08666603;1.539264047;0.042431724;0.002389057;0.042431724;10.22;5.11;18.03;1.22;0.61;2.15;9;4.5;15.89;0;0;0;9.15;4.58;16.15;1.09;0.54;1.92;8.06;4.03;14.23;0;0;0
BG31;6.118542;3.919923;10.792925;1.090575;0.642306;1.564506;4.577392;2.827042;7.751811;0.450575;0.450575;1.476608;7.534322131;4.883501402;7.975865548;14.85014892;9.625381263;15.720431;0.078976123;0.051189742;0.083604461;62.13;31.07;109.65;2.16;1.08;3.82;59.97;29.99;105.83;0;0;0;71.77;35.89;126.66;2.5;1.25;4.41;69.28;34.64;122.25;0;0;0
BG32;7.448451;5.467123;10.5184;2.716133;1.709117;3.775639;4.473786;3.499475;5.732275;0.258532;0.258532;1.010486;7.382435306;4.028152948;7.946505895;14.55077999;7.93948946;15.66256312;0.09953398;0.054309734;0.107139084;47.18;23.59;83.26;2.17;1.08;3.83;45.01;22.51;79.43;0;0;0;54.71;27.36;96.55;2.51;1.26;4.44;52.2;26.1;92.11;0;0;0
BG33;8.470401;5.607387;11.652919;3.178594;2.007133;4.514775;5.033275;3.341722;6.167117;0.258532;0.258532;0.971028;22.18124004;11.59618441;23.99682032;46.13530121;24.11918628;49.91157085;0.304478244;0.159178921;0.329400416;49.13;24.57;86.71;2.44;1.22;4.3;46.7;23.35;82.4;0;0;0;57.1;28.55;100.77;2.83;1.42;5;54.27;27.14;95.77;0;0;0
BG34;5.541517;4.177329;10.555981;1.582039;1.053697;2.277022;3.148883;2.313036;5.169375;0.810595;0.810595;3.109583;7.108871848;3.909788865;7.670909664;14.01158641;7.706193854;15.11936295;0.071926664;0.039558748;0.077613291;53.11;26.55;93.72;2.65;1.32;4.67;50.46;25.23;89.05;0;0;0;63.36;31.68;111.82;3.16;1.58;5.58;60.2;30.1;106.24;0;0;0
BG41;3.000829;2.403717;7.490494;0.780539;0.552564;1.090281;1.437472;1.068336;3.506183;0.782817;0.782817;2.894031;3.154005345;1.615764704;3.484502671;6.216544534;3.184672232;6.867954764;0.03120306;0.015985009;0.034472721;37.49;18.74;66.15;5.17;2.59;9.13;32.31;16.16;57.02;0;0;0;43.55;21.77;76.85;6.01;3;10.6;37.54;18.77;66.25;0;0;0
BG42;7.506871;4.689229;16.137094;2.068439;1.336403;2.831006;4.232817;2.147211;8.842183;1.205615;1.205615;4.463906;5.616375776;3.016777899;6.12608521;11.06987665;5.946069239;12.07451395;0.050101479;0.026911489;0.054648396;49.91;24.95;88.07;3.54;1.77;6.25;46.36;23.18;81.82;0;0;0;59.16;29.58;104.41;4.2;2.1;7.41;54.97;27.48;97;0;0;0
CY00;1.545214;1.032075;2.248389;1.267436;0.865408;1.6095;0.277778;0.166667;0.638889;0;0;0;1.937654899;1.237901959;3.228098034;3.819117805;2.43990476;6.362581224;0.042427302;0.027105364;0.070683119;24.12;12.06;42.56;2.14;1.07;3.78;14.07;7.04;24.83;7.91;3.95;13.95;37.7;18.85;66.54;3.35;1.67;5.91;22;11;38.82;12.36;6.18;21.81
CZ01;0.242951;0.232504;0.555139;0.186567;0.186214;0.214581;0.015019;0.004925;0.072072;0.041365;0.041365;0.268486;0.035;0;0.07;0.068985;0;0.13797;0.013944223;0;0.027888446;3.43;1.72;6.05;2.71;1.35;4.78;0.72;0.36;1.28;0;0;0;3.25;1.62;5.73;2.56;1.28;4.52;0.69;0.34;1.21;0;0;0
CZ02;8.624026;6.525196;14.060897;3.986;3.14915;4.822692;4.235758;2.973778;5.987033;0.402268;0.402268;3.251172;12.505;0.765;16.92;25.94565317;1.587239079;35.10599374;0.22674524;0.01387126;0.306799637;35.45;17.72;62.56;3.21;1.61;5.67;32.24;16.12;56.89;0;0;0;33.28;16.64;58.73;3.02;1.51;5.32;30.27;15.13;53.41;0;0;0
CZ03;8.391538;6.318883;16.788667;4.970789;3.934928;6.114497;2.565967;1.529172;3.322606;0.854783;0.854783;7.351564;14.35685845;2.117678308;17.78516286;30.08689591;4.437904508;37.27140904;0.162970185;0.024038575;0.201886178;44.6;22.3;78.71;2.97;1.49;5.24;41.63;20.82;73.47;0;0;0;41.14;20.57;72.61;2.74;1.37;4.84;38.4;19.2;67.77;0;0;0
CZ04;3.185937;2.18199;6.770933;1.759861;1.208519;2.244233;1.097486;0.644881;1.901656;0.32859;0.32859;2.625044;4.446459199;0.949608159;5.408529407;8.763971082;1.871677681;10.66021146;0.10278454;0.021951183;0.125023796;18.9;9.45;33.36;2.75;1.37;4.85;16.15;8.08;28.5;0;0;0;16.74;8.37;29.54;2.44;1.22;4.3;14.3;7.15;25.24;0;0;0
CZ05;8.63167;6.771998;14.183511;4.026817;3.101058;5.005244;4.098403;3.164489;4.941619;0.506451;0.506451;4.236647;10.97208822;1.390147057;14.17949998;24.13627964;3.058030289;31.19190894;0.175679901;0.022258379;0.227035465;35.05;17.52;61.85;3.69;1.84;6.51;31.36;15.68;55.34;0;0;0;32.32;16.16;57.03;3.4;1.7;6;28.92;14.46;51.03;0;0;0
CZ06;9.124574;6.985524;15.410306;5.659739;4.503825;6.864239;2.963333;1.980197;4.426322;0.501502;0.501502;4.119744;21.96;3.645;26.755;52.31167533;8.682880536;63.73401063;0.313916089;0.052104925;0.382460153;45.35;22.67;80.03;4.11;2.05;7.24;41.24;20.62;72.78;0;0;0;42.75;21.38;75.44;3.87;1.94;6.83;38.88;19.44;68.61;0;0;0
CZ07;5.744911;4.755908;10.281256;2.586089;1.989719;3.314458;2.696633;2.304;3.155211;0.462188;0.462188;3.811586;7.873506139;1.1639819;10.12248545;17.24283172;2.54909867;22.1680545;0.170146;0.02515358;0.218746309;24.68;12.34;43.56;2.99;1.49;5.27;21.7;10.85;38.29;0;0;0;23.02;11.51;40.63;2.79;1.39;4.92;20.24;10.12;35.71;0;0;0
CZ08;4.728036;4.207272;8.623175;2.662719;2.349908;2.999222;1.556908;1.348956;1.884853;0.508409;0.508409;3.7391;4.055695185;0.566925133;5.250598928;8.812784326;1.231894583;11.40923906;0.151078234;0.021118463;0.195589455;15.62;7.81;27.57;2.99;1.49;5.27;12.64;6.32;22.3;0;0;0;14.25;7.13;25.15;2.72;1.36;4.81;11.53;5.77;20.35;0;0;0
DE11;5.685541;3.974286;9.485356;2.585647;1.354242;3.667394;2.322647;1.842797;3.007689;0.777247;0.777247;2.810272;0.154470588;0.200514706;2.326713239;0.30446153;0.395214486;4.585951794;0.002923365;0.003794752;0.04403318;35.66;17.83;62.92;8.8;4.4;15.54;26.85;13.43;47.39;0;0;0;34.15;17.07;60.26;8.43;4.22;14.88;25.71;12.86;45.38;0;0;0
DE12;2.918809;2.363948;6.237661;1.044244;0.650383;1.447981;0.893706;0.732706;1.196939;0.980859;0.980859;3.592742;0;0;0;0;0;0;0;0;0;17.15;8.57;30.26;6.19;3.1;10.93;10.95;5.48;19.33;0;0;0;16.57;8.28;29.23;5.98;2.99;10.56;10.58;5.29;18.68;0;0;0
DE13;3.526494;2.746933;7.791353;1.194425;0.592386;1.8134;1.101092;0.923569;1.497283;1.230977;1.230977;4.480669;0.204379085;0.239856209;1.636575163;0.402831176;0.472756588;3.225689647;0.00430589;0.005053328;0.03447962;24.07;12.03;42.47;5.23;2.62;9.24;18.83;9.42;33.24;0;0;0;23.93;11.96;42.23;5.2;2.6;9.18;18.73;9.36;33.05;0;0;0
DE14;3.976239;2.715556;7.090172;1.868256;0.921328;2.794211;1.459606;1.14585;1.952789;0.648378;0.648378;2.343172;0.294319005;0.348610861;2.651728513;0.580102759;0.687112006;5.226556899;0.006473529;0.007667675;0.058324613;27.49;13.75;48.52;4.34;2.17;7.66;23.15;11.58;40.86;0;0;0;26.7;13.35;47.12;4.21;2.11;7.44;22.48;11.24;39.68;0;0;0
DE21;10.677185;8.458438;22.919728;4.158694;2.480375;5.679339;3.054719;2.514292;4.135219;3.463771;3.463771;13.105169;0.76527206;0.457625001;6.266386037;1.50835123;0.901978876;12.35104688;0.008727016;0.005218668;0.071460669;48.44;24.22;85.47;10.66;5.33;18.81;37.78;18.89;66.66;0;0;0;47.47;23.73;83.77;10.45;5.22;18.44;37.02;18.51;65.33;0;0;0
DE22;6.156271;4.484335;10.246783;2.990658;1.625689;4.311817;2.443836;2.136869;3.165989;0.721777;0.721777;2.768978;0.713909314;0.287904412;6.441568629;1.407115258;0.567459596;12.69633177;0.013819383;0.005573063;0.124691611;27.97;13.99;49.36;2.91;1.45;5.13;25.07;12.53;44.24;0;0;0;26.8;13.4;47.3;2.78;1.39;4.91;24.02;12.01;42.39;0;0;0
DE23;5.075608;3.909613;10.584339;2.02025;1.187386;2.731803;1.508483;1.175353;1.962083;1.546874;1.546874;5.890453;0.405786765;0.258796569;1.567634804;0.799805713;0.510088037;3.089808198;0.008398774;0.005356444;0.032446131;18.16;9.08;32.04;2.63;1.32;4.65;15.52;7.76;27.4;0;0;0;16.87;8.44;29.77;2.45;1.22;4.32;14.42;7.21;25.45;0;0;0
DE24;3.233967;2.391817;6.092553;1.425233;0.882431;1.940764;1.11385;0.814503;1.528;0.694884;0.694884;2.623789;0.112442096;0.058789522;0.619858457;0.221623371;0.115874148;1.221741019;0.003113015;0.001627617;0.017161087;11.59;5.79;20.45;2.58;1.29;4.55;9.01;4.5;15.89;0;0;0;10.33;5.16;18.23;2.3;1.15;4.06;8.03;4.01;14.17;0;0;0
DE25;3.738775;2.726594;6.57325;1.774294;1.029817;2.428128;1.325067;1.057364;1.774231;0.639414;0.639414;2.370892;0.210441177;0.102102941;1.183147059;0.414779559;0.201244897;2.331982854;0.00577659;0.002802716;0.032477273;16.77;8.39;29.6;4.09;2.05;7.23;12.68;6.34;22.37;0;0;0;15.83;7.92;27.94;3.87;1.93;6.82;11.97;5.98;21.12;0;0;0
DE26;5.806078;4.658803;11.531931;2.1486;1.451072;2.869075;2.008628;1.558881;2.523425;1.64885;1.64885;6.139431;0.397298041;0.238101962;1.346245102;0.783074438;0.469298966;2.653449097;0.009300048;0.005573548;0.031513228;17.24;8.62;30.43;3.17;1.59;5.6;14.07;7.04;24.83;0;0;0;15.76;7.88;27.81;2.9;1.45;5.12;12.86;6.43;22.7;0;0;0
DE27;5.04804;3.593423;8.702672;2.436508;1.241619;3.447192;1.907683;1.647956;2.612339;0.703848;0.703848;2.643142;1.13812815;0.712462184;4.665721634;2.243250584;1.404262965;9.196137341;0.022696742;0.01420804;0.093044603;29.86;14.93;52.7;4.41;2.2;7.78;25.45;12.73;44.92;0;0;0;28.42;14.21;50.16;4.2;2.1;7.41;24.23;12.11;42.75;0;0;0
DE30;0.05565;0.05565;0.187081;0.0087;0.0087;0.0087;0.000444;0.000444;0.000472;0.046506;0.046506;0.177908;0;0;0.028851927;0;0;0.056867148;0;0;0.006542387;7.73;3.86;13.64;7.45;3.72;13.14;0.28;0.14;0.5;0;0;0;6.98;3.49;12.31;6.72;3.36;11.87;0.25;0.13;0.45;0;0;0
DE40;8.624655;6.567169;18.404994;3.11915;2.533981;3.755583;2.393828;0.921511;2.710969;3.111677;3.111677;11.938442;11.43385294;7.714496607;30.76108937;23.66564673;15.96736921;63.66892051;0.077057912;0.051991485;0.207312909;63.75;31.87;112.49;6.26;3.13;11.05;57.49;28.74;101.45;0;0;0;57.62;28.81;101.68;5.66;2.83;9.98;51.96;25.98;91.69;0;0;0
DE50;0.158142;0.158142;0.477475;0.018897;0.018897;0.018897;0.000067;0.000067;0.000072;0.139178;0.139178;0.458506;0.08;0.02;0.15;0.207517163;0.051879291;0.38909468;0.042216359;0.01055409;0.079155673;1.8;0.9;3.18;1.43;0.72;2.52;0.37;0.19;0.66;0;0;0;1.55;0.78;2.74;1.23;0.62;2.17;0.32;0.16;0.57;0;0;0
DE60;0.018278;0.011187;0.050453;0.001769;0.001769;0.001769;0.007544;0.000453;0.008303;0.008964;0.008964;0.040381;0.21;0.025;0.305;0.44551371;0.053037346;0.647055626;0.055629139;0.006622517;0.080794702;4.74;2.37;8.37;3.8;1.9;6.71;0.94;0.47;1.67;0;0;0;4.03;2.02;7.12;3.23;1.62;5.7;0.8;0.4;1.42;0;0;0
DE71;3.418205;2.730349;6.388883;1.116775;0.656047;1.441742;1.347464;1.120336;1.646108;0.953966;0.953966;3.301033;0;0;0;0;0;0;0;0;0;17.31;8.65;30.54;8.32;4.16;14.68;8.99;4.49;15.86;0;0;0;16.12;8.06;28.45;7.75;3.88;13.68;8.37;4.19;14.77;0;0;0
DE72;2.358878;1.706825;4.361386;0.842392;0.457728;1.170414;0.923578;0.656189;1.1687;0.592908;0.592908;2.022272;0;0;0;0;0;0;0;0;0;13.3;6.65;23.46;2.5;1.25;4.41;10.8;5.4;19.05;0;0;0;11.86;5.93;20.92;2.23;1.11;3.93;9.63;4.81;16.99;0;0;0
DE73;3.902504;2.854948;7.078025;1.498339;0.847;2.095783;1.514633;1.118417;1.868878;0.889532;0.889532;3.113364;0.462228373;0.259128027;1.833155707;0.911052124;0.510741342;3.613149899;0.011147435;0.006249319;0.044209712;18.86;9.43;33.29;2.93;1.47;5.17;15.93;7.97;28.12;0;0;0;16.42;8.21;28.97;2.55;1.28;4.5;13.87;6.93;24.47;0;0;0
DE80;17.46192;12.180039;25.358783;8.434472;6.141172;10.797906;7.369633;4.381053;8.717692;1.657814;1.657814;5.843186;18.92;12.97;46.87;46.1292018;31.62239679;114.2746136;0.16537016;0.113364216;0.409666987;65.09;32.54;114.86;3.96;1.98;6.98;61.13;30.56;107.87;0;0;0;57.69;28.85;101.81;3.51;1.75;6.19;54.18;27.09;95.62;0;0;0
DE91;6.493903;5.108023;9.729336;2.675864;1.7737;3.61055;3.123156;2.639439;3.591044;0.694884;0.694884;2.527742;2.436619413;1.482034119;8.361520005;4.802576864;2.921089248;16.48055593;0.059985707;0.03648533;0.205847366;22.87;11.44;40.36;3.85;1.92;6.79;19.02;9.51;33.57;0;0;0;20.03;10.01;35.34;3.37;1.69;5.95;16.66;8.33;29.4;0;0;0
DE92;9.004184;7.074464;16.466736;3.750942;2.400525;5.100778;3.225744;2.646442;3.778858;2.027498;2.027498;7.5871;3.187755089;1.931697963;12.77822737;6.647966843;4.028497688;26.64860677;0.07021487;0.042548413;0.281458753;29.19;14.6;51.51;5.13;2.56;9.05;24.06;12.03;42.46;0;0;0;25.68;12.84;45.32;4.51;2.26;7.96;21.17;10.59;37.36;0;0;0
DE93;10.501193;7.316801;17.157708;5.675575;3.060958;7.964178;3.426886;2.857111;4.091808;1.398732;1.398732;5.101722;7.255085784;4.583302696;24.45007353;16.42192409;10.37432929;55.34286752;0.093789487;0.059250245;0.316076188;46.52;23.26;82.09;4.09;2.05;7.23;42.42;21.21;74.86;0;0;0;40.15;20.07;70.85;3.53;1.77;6.24;36.61;18.31;64.61;0;0;0
DE94;13.13306;9.238848;20.176028;8.992506;5.541853;12.191339;2.834833;2.391275;3.443308;1.305721;1.305721;4.541381;7.105;4.225;26.84;16.92296195;10.06326731;63.92854312;0.095369128;0.056711409;0.360268456;47.86;23.93;84.46;5.98;2.99;10.55;41.89;20.94;73.92;0;0;0;41.2;20.6;72.71;5.15;2.57;9.08;36.06;18.03;63.63;0;0;0
DEA1;3.058974;2.207637;4.514306;1.353331;0.640656;2.048961;1.455525;1.316864;1.623292;0.250118;0.250118;0.842053;0.945;0.095;3.355;2.005247103;0.201585688;7.119157706;0.035673839;0.003586259;0.126651567;21.88;10.94;38.62;11.08;5.54;19.54;10.81;5.4;19.07;0;0;0;19.51;9.75;34.42;9.87;4.94;17.42;9.63;4.82;17;0;0;0
DEA2;4.433456;3.581425;6.826939;1.564522;0.891297;2.187936;2.267061;2.088256;2.579889;0.601872;0.601872;2.059114;1.23159467;0.181897059;3.27414706;2.568845746;0.379398756;6.829177613;0.033349436;0.004925455;0.088658193;20.29;10.15;35.81;9.89;4.95;17.46;10.4;5.2;18.35;0;0;0;17.91;8.96;31.61;8.73;4.37;15.41;9.18;4.59;16.2;0;0;0
DEA3;4.654757;2.90739;7.834806;2.841767;1.340461;4.745094;1.423694;1.177633;1.657719;0.389296;0.389296;1.431992;6.92;1.69;12.965;14.02651957;3.425551744;26.27945465;0.1997114;0.048773449;0.374170274;27.29;13.65;48.16;6.14;3.07;10.83;21.15;10.58;37.33;0;0;0;24.15;12.07;42.61;5.43;2.72;9.58;18.71;9.36;33.03;0;0;0
DEA4;4.207999;2.765593;6.709136;2.132358;1.066097;3.217078;1.639839;1.263694;1.912164;0.435801;0.435801;1.579894;3.370680145;1.274191176;6.037591907;6.889442895;2.604360831;12.34043068;0.10366539;0.039187796;0.185686357;20.12;10.06;35.5;4.94;2.47;8.72;15.17;7.59;26.78;0;0;0;17.46;8.73;30.81;4.29;2.15;7.57;13.17;6.58;23.24;0;0;0
DEA5;3.419597;2.430542;6.643006;1.3954;0.651664;2.095803;1.107772;0.862453;1.299136;0.916425;0.916425;3.248067;1.70101629;0.573102263;3.185595023;3.451554941;1.162889478;6.463933536;0.042456416;0.014304312;0.079510671;19.51;9.75;34.42;8.48;4.24;14.97;11.03;5.51;19.46;0;0;0;16.39;8.19;28.92;7.12;3.56;12.57;9.26;4.63;16.35;0;0;0
