param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
ES-PT	CONTAINER_CARGO_LNG	21.6645	2.1533	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
ES-PT	CONTAINER_CARGO_METHANOL	20.7307	2.0605	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
ES-PT	CONTAINER_CARGO_AMMONIA	21.6645	2.1533	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
ES-PT	CONTAINER_CARGO_FUELCELL_LH2	26.9219	2.6758	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
ES-PT	CONTAINER_CARGO_FUELCELL_AMMONIA	26.9219	2.6758	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
ES-PT	CONTAINER_CARGO_RETRO_METHANOL	3.1127	2.1464	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
ES-PT	CONTAINER_CARGO_RETRO_AMMONIA	4.8353	2.3229	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
ES-PT	TRUCK_DIESEL	371.1111111	18.55555556	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
ES-PT	TRUCK_METHANOL	371.1111111	18.55555556	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
ES-PT	TRUCK_FUEL_CELL	402.2222222	12.06666667	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
ES-PT	TRUCK_ELEC	771.1111111	23.13333333	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
ES-PT	TRUCK_NG	371.1111111	18.55555556	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
ES-PT	EFFICIENCY	3320.0	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
ES-PT	DHN	825.8825733	0.0	0.0	60	1.0	0.0	1.0	0.0	Infinity
ES-PT	GRID	446394.729	0.0	0.0	80	1.0	0.0	1.0	0.0	Infinity
ES-PT	H2_GRID_PIPELINE	208.4451	1.876	0.0	40	1.0	0.0	1.0	0.0	Infinity
ES-PT	H2_GRID_COMPRESSOR	70.4351	1.1974	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	PT_COLLECTOR	4504.71429	62.65	0.0	25	1.0	0.0	1.0	0.0	1500.0
ES-PT	ST_COLLECTOR	100.0	5.0	0.0	25	1.0	0.0	1.0	0.0	1500.0
ES-PT	H2_ELECTROLYSIS	696.2025316	19.14556962	0.0	15	0.9	0.0	1.0	0.0	Infinity
ES-PT	SMR	681.2435621	64.43487218	0.0	25	0.86	0.0	1.0	0.0	Infinity
ES-PT	H2_BIOMASS	2525.386272	195.7018447	0.0	25	0.86	0.0	1.0	0.0	Infinity
ES-PT	GASIFICATION_SNG	2743.8056	139.9381965	0.0	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	SYN_METHANATION	262.1968349	66.99276316	0.0	40	1.0	0.0	1.0	0.0	Infinity
ES-PT	BIOMETHANATION	986.0473827	13.65909091	0.0	20	0.85	0.0	1.0	0.0	Infinity
ES-PT	BIO_HYDROLYSIS	1591.909355	108.53745	0.0	15	0.85	0.0	1.0	0.0	Infinity
ES-PT	PYROLYSIS_TO_LFO	1344.22	61.09697026	0.0	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	PYROLYSIS_TO_FUELS	1365.0	38.0	0.0	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	ATM_CCS	5160.0	129.6	0.0	40	1.0	0.0	1.0	0.0	Infinity
ES-PT	INDUSTRY_CCS	2580.0	64.8	0.0	40	1.0	0.0	1.0	0.0	Infinity
ES-PT	SYN_METHANOLATION	1679.651653	47.66486711	0.0	20	0.95	0.0	1.0	0.0	Infinity
ES-PT	METHANE_TO_METHANOL	958.5822643	41.91520353	0.0	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	BIOMASS_TO_METHANOL	2520.0	38.5	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	HABER_BOSCH	847.0	16.56	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	FISCHER_TROPSCH_DIESEL	975.0	48.75	0.0	25	0.93	0.0	1.0	0.0	Infinity
ES-PT	FISCHER_TROPSCH_JETFUEL	975.0	48.75	0.0	25	0.93	0.0	1.0	0.0	Infinity
ES-PT	FISCHER_TROPSCH_GASOLINE	975.0	48.75	0.0	25	0.93	0.0	1.0	0.0	Infinity
ES-PT	AMMONIA_TO_H2	681.24	62.8658412	0.0	25	0.86	0.0	1.0	0.0	Infinity
ES-PT	OIL_TO_HVC	395.0	2.1	0.0	15	1.0	0.0	1.0	0.0	Infinity
ES-PT	GAS_TO_HVC	797.6	19.93997837	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	BIOMASS_TO_HVC	1743.0	52.0	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	METHANOL_TO_HVC	697.2	62.748	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	BATT_LI	302.0	0.62	61.3	15	1.0	0.0	1.0	0.0	10.0
ES-PT	CAES	38.938	3.1799	0.0	50	1.0	0.0	1.0	0.0	Infinity
ES-PT	BEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
ES-PT	PHEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
ES-PT	DAM_STORAGE	0.0	0.0	0.0	1	1.0	0.0	1.0	8839.186	8839.197
ES-PT	PHS	58.8	0.0	8.33	50	1.0	0.0	1.0	1637.0	5172.0
ES-PT	TS_DEC_DIRECT_ELEC	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_HP_ELEC	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_THHP_GAS	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_COGEN_GAS	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_COGEN_OIL	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_ADVCOGEN_GAS	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_ADVCOGEN_H2	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_BOILER_GAS	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_BOILER_WOOD	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DEC_BOILER_OIL	18.97181384	0.132802697	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DHN_DAILY	3.0	0.0086	0.0	40	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_DHN_SEASONAL	0.54	0.003	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_HIGH_TEMP	28.03	0.28	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	GAS_STORAGE	0.051158	0.001309164	0.0	30	1.0	0.0	1.0	0.0	Infinity
ES-PT	H2_STORAGE	6.19	0.03	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	DIESEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	GASOLINE_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	JET_FUEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	LFO_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	AMMONIA_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	METHANOL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	PT_STORAGE	36.9568	0.3695	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	ST_STORAGE	19.099	0.1909	0.0	25	1.0	0.0	1.0	0.0	Infinity
ES-PT	TS_COLD	25.0	0.3	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	CO2_STORAGE	49.5	0.495	0.0	20	1.0	0.0	1.0	0.0	Infinity
FR	NUCLEAR	4845.734619	102.930986	707.88	60	0.849	0.0	1.0	0.0	41.3
FR	CCGT	771.9917595	19.73031183	183.79	25	0.85	0.0	1.0	0.0	Infinity
FR	CCGT_AMMONIA	771.99	19.55202588	183.79	25	0.961538462	0.0	1.0	0.0	Infinity
FR	COAL_US	2516.705684	29.70315573	331.6	35	0.868	0.0	1.0	0.0	Infinity
FR	COAL_IGCC	3245.809533	48.94653057	331.6	35	0.856	0.0	1.0	0.0	Infinity
FR	PV_ROOFTOP	737.8867059	9.726688396	2081.43	40	1.0	0.0	1.0	3.09	153.0
FR	PV_UTILITY	335.4030481	8.432990925	2081.43	40	1.0	0.0	1.0	3.09	1492.0
FR	PT_POWER_BLOCK	1044.57	62.65	0.0	25	1.0	0.0	1.0	0.0	0.0
FR	ST_POWER_BLOCK	50.0	5.0	0.0	25	1.0	0.0	1.0	0.0	37.0
FR	WIND_ONSHORE	1010.0	16.82	622.85	30	1.0	0.0	1.0	10.311	193.2
FR	WIND_OFFSHORE	1667.432296	51.87199798	622.85	30	1.0	0.0	1.0	0.0	12.0
FR	HYDRO_DAM	4200.6993	21.0018	1692.88	40	1.0	0.0	1.0	14.2357	14.24
FR	HYDRO_RIVER	5044.919936	50.4447982	1262.82	40	1.0	0.0	1.0	6.6094	6.61
FR	NEW_TIDAL_STREAM	2769.0	4.0	0.0	20	1.0	0.0	0.0	0.0	0.0
FR	TIDAL_STREAM	3752.0	165.0	0.0	20	1.0	0.0	1.0	0.0	5.0
FR	TIDAL_RANGE	2867.0	178.0	0.0	40	1.0	0.0	1.0	0.0	5.0
FR	WAVE	1909.0	42.0	0.0	20	1.0	0.0	0.0	0.0	0.0
FR	GEOTHERMAL	7488.0	142.272	24929.09	30	0.86	0.0	1.0	0.0	4.5
FR	IND_COGEN_GAS	1408.03446	92.61166776	1024.32	25	0.85	0.0	1.0	0.0	Infinity
FR	IND_COGEN_WOOD	1080.794082	40.49068265	165.33	25	0.85	0.0	1.0	0.0	Infinity
FR	IND_COGEN_WASTE	2927.867778	111.3212848	647.82	25	0.85	0.0	1.0	0.0	Infinity
FR	IND_BOILER_GAS	58.89128196	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
FR	IND_BOILER_WOOD	115.1793239	2.303586478	28.87	17	0.9	0.0	1.0	0.0	Infinity
FR	IND_BOILER_OIL	54.85532353	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
FR	IND_BOILER_COAL	115.1793239	2.303586478	48.18	17	0.9	0.0	1.0	0.0	Infinity
FR	IND_BOILER_WASTE	115.1793239	2.303586478	28.87	17	0.9	0.0	1.0	0.0	Infinity
FR	IND_DIRECT_ELEC	332.3438524	1.507631801	1.47	15	0.95	0.0	1.0	0.0	Infinity
FR	DHN_HP_ELEC	344.7607454	11.9955052	174.79	25	0.95	0.0	1.0	0.0	Infinity
FR	DHN_COGEN_GAS	1254.490121	37.53160408	490.88	25	0.85	0.0	1.0	0.0	Infinity
FR	DHN_COGEN_WOOD	1080.794082	40.49068265	165.33	25	0.85	0.0	1.0	0.0	Infinity
FR	DHN_COGEN_WASTE	2927.867778	111.3212848	647.82	25	0.85	0.0	1.0	0.0	Infinity
FR	DHN_COGEN_WET_BIOMASS	2287.0	228.7	1024.0	25	0.75	0.0	1.0	0.0	Infinity
FR	DHN_COGEN_BIO_HYDROLYSIS	4536.899731	221.6894187	647.8	15	0.85	0.0	1.0	0.0	Infinity
FR	DHN_BOILER_GAS	58.89128196	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
FR	DHN_BOILER_WOOD	115.1793239	2.303586478	28.87	17	0.9	0.0	1.0	0.0	Infinity
FR	DHN_BOILER_OIL	54.85532353	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
FR	DHN_DEEP_GEO	1500.0	57.04	808.76	30	0.85	0.0	1.0	0.58616	1.66
FR	DHN_SOLAR	362.0	0.433	221.22	30	1.0	0.0	1.0	0.0	Infinity
FR	DEC_HP_ELEC	492.0404532	21.05066017	164.89	18	1.0	0.0	1.0	0.0	Infinity
FR	DEC_THHP_GAS	315.6849892	9.467178575	381.93	20	1.0	0.0	0.0	0.0	Infinity
FR	DEC_COGEN_GAS	1408.03446	92.61166776	1024.32	20	1.0	0.0	1.0	0.0	Infinity
FR	DEC_COGEN_OIL	1305.562319	81.96460343	1024.32	20	1.0	0.0	1.0	0.0	Infinity
FR	DEC_ADVCOGEN_GAS	7242.27924	144.8450229	2193.45	20	1.0	0.0	1.0	0.0	Infinity
FR	DEC_ADVCOGEN_H2	7242.27924	144.8450229	2193.45	20	1.0	0.0	1.0	0.0	Infinity
FR	DEC_BOILER_GAS	158.5354434	4.756999719	21.09	17	1.0	0.0	1.0	0.0	Infinity
FR	DEC_BOILER_WOOD	462.4403034	16.18129038	21.09	17	1.0	0.0	1.0	0.0	Infinity
FR	DEC_BOILER_OIL	142.3822455	8.54012548	21.09	17	1.0	0.0	1.0	0.0	Infinity
FR	DEC_SOLAR	719.0748197	8.090645191	221.22	20	1.0	0.0	1.0	0.0	Infinity
FR	DEC_DIRECT_ELEC	39.97565315	0.177919281	1.47	15	1.0	0.0	1.0	0.0	Infinity
FR	BIG_SPLIT	232.0	9.333	0.0	15	1.0	0.0	1.0	0.0	Infinity
FR	CHILLER_WC	119.0	4.76	0.0	20	1.0	0.0	1.0	0.0	Infinity
FR	TRAMWAY_TROLLEY	625.0	12.5	0.0	30	0.342465753	0.0	0.3	0.0	Infinity
FR	BUS_COACH_DIESEL	611.1111111	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
FR	BUS_COACH_HYDIESEL	833.3333333	33.33333333	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
FR	BUS_COACH_CNG_STOICH	611.1111111	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
FR	BUS_COACH_FC_HYBRIDH2	1041.666667	31.25	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
FR	TRAIN_PUB	1506.024096	54.35274934	0.0	40	0.275072894	0.0	0.5	0.0	Infinity
FR	PLANE_JETFUEL	1456.05	39.82	0.0	35	0.4999	0.4779	0.478	0.0	Infinity
FR	CAR_GASOLINE	420.29	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	CAR_DIESEL	434.45	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	CAR_NG	429.38	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	CAR_METHANOL	420.29	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	CAR_HEV	429.41	34.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	CAR_PHEV	456.37	34.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	CAR_BEV	433.83	10.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	CAR_FUEL_CELL	672.41	10.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
FR	TRAIN_FREIGHT	104.4155844	2.088311688	0.0	40	0.342465753	0.0	1.0	0.0	Infinity
FR	BOAT_FREIGHT_DIESEL	76.38888889	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	Infinity
FR	BOAT_FREIGHT_NG	76.38888889	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	Infinity
FR	BOAT_FREIGHT_METHANOL	76.38888889	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_DIESEL	18.6763	1.8563	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_LNG	21.6645	2.1533	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_METHANOL	20.7307	2.0605	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_AMMONIA	21.6645	2.1533	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_FUELCELL_LH2	26.9219	2.6758	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_FUELCELL_AMMONIA	26.9219	2.6758	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_RETRO_METHANOL	3.1127	2.1464	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	CONTAINER_CARGO_RETRO_AMMONIA	4.8353	2.3229	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
FR	TRUCK_DIESEL	371.1111111	18.55555556	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
FR	TRUCK_METHANOL	371.1111111	18.55555556	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
FR	TRUCK_FUEL_CELL	402.2222222	12.06666667	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
FR	TRUCK_ELEC	771.1111111	23.13333333	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
FR	TRUCK_NG	371.1111111	18.55555556	0.0	15	0.092592593	0.0	1.0	0.0	Infinity
FR	EFFICIENCY	3320.0	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
FR	DHN	825.8825733	0.0	0.0	60	1.0	0.0	1.0	0.0	Infinity
FR	GRID	446394.729	0.0	0.0	80	1.0	0.0	1.0	0.0	Infinity
FR	H2_GRID_PIPELINE	208.4451	1.876	0.0	40	1.0	0.0	1.0	0.0	Infinity
FR	H2_GRID_COMPRESSOR	70.4351	1.1974	0.0	25	1.0	0.0	1.0	0.0	Infinity
FR	PT_COLLECTOR	4504.71429	62.65	0.0	25	1.0	0.0	1.0	0.0	Infinity
FR	ST_COLLECTOR	100.0	5.0	0.0	25	1.0	0.0	1.0	0.0	Infinity
FR	H2_ELECTROLYSIS	696.2025316	19.14556962	0.0	15	0.9	0.0	1.0	0.0	Infinity
FR	SMR	681.2435621	64.43487218	0.0	25	0.86	0.0	1.0	0.0	Infinity
FR	H2_BIOMASS	2525.386272	195.7018447	0.0	25	0.86	0.0	1.0	0.0	Infinity
FR	GASIFICATION_SNG	2743.8056	139.9381965	0.0	25	0.85	0.0	1.0	0.0	Infinity
FR	SYN_METHANATION	262.1968349	66.99276316	0.0	40	1.0	0.0	1.0	0.0	Infinity
FR	BIOMETHANATION	986.0473827	13.65909091	0.0	20	0.85	0.0	1.0	0.0	Infinity
FR	BIO_HYDROLYSIS	1591.909355	108.53745	0.0	15	0.85	0.0	1.0	0.0	Infinity
FR	PYROLYSIS_TO_LFO	1344.22	61.09697026	0.0	25	0.85	0.0	1.0	0.0	Infinity
FR	PYROLYSIS_TO_FUELS	1365.0	38.0	0.0	25	0.85	0.0	1.0	0.0	Infinity
FR	ATM_CCS	5160.0	129.6	0.0	40	1.0	0.0	1.0	0.0	Infinity
FR	INDUSTRY_CCS	2580.0	64.8	0.0	40	1.0	0.0	1.0	0.0	Infinity
FR	SYN_METHANOLATION	1679.651653	47.66486711	0.0	20	0.95	0.0	1.0	0.0	Infinity
FR	METHANE_TO_METHANOL	958.5822643	41.91520353	0.0	25	0.85	0.0	1.0	0.0	Infinity
FR	BIOMASS_TO_METHANOL	2520.0	38.5	0.0	20	1.0	0.0	1.0	0.0	Infinity
FR	HABER_BOSCH	847.0	16.56	0.0	20	1.0	0.0	1.0	0.0	Infinity
FR	FISCHER_TROPSCH_DIESEL	975.0	48.75	0.0	25	0.93	0.0	1.0	0.0	Infinity
