From;To;Resources;Network_type;tc_min;tc_max
BE;GB;GAS;GAS_SUBSEA;33.45833333;41.82291667
BE;LU;GAS;GAS_PIPELINE;2.041666667;2.552083333
BE;NL;GAS;GAS_PIPELINE;57.79166667;72.23958333
BE;NO;GAS;GAS_SUBSEA;20.33333333;25.41666667
BG;GR;GAS;GAS_PIPELINE;4.875;6.09375
BG;MK;GAS;GAS_PIPELINE;1.141666667;1.427083333
BG;RO;GAS;GAS_PIPELINE;10.79166667;13.48958333
BG;RS;GAS;GAS_PIPELINE;16.70833333;20.88541667
CH;AT;GAS;GAS_PIPELINE;0;20
CH;DE;GAS;GAS_PIPELINE;14.45833333;18.07291667
CH;FR;GAS;GAS_PIPELINE;9.291666667;11.61458333
CH;IT;GAS;GAS_PIPELINE;26.54166667;33.17708333
CZ;AT;GAS;GAS_PIPELINE;0;20
CZ;DE;GAS;GAS_PIPELINE;89.375;111.71875
CZ;PL;GAS;GAS_PIPELINE;1.166666667;1.458333333
CZ;SK;GAS;GAS_PIPELINE;51.91666667;64.89583333
DE;AT;GAS;GAS_PIPELINE;14.125;17.65625
DE;BE;GAS;GAS_PIPELINE;18.125;22.65625
DE;CH;GAS;GAS_PIPELINE;14.45833333;18.07291667
DE;CZ;GAS;GAS_PIPELINE;89.375;111.71875
DE;DK;GAS;GAS_PIPELINE;5.166666667;6.458333333
DE;FR;GAS;GAS_PIPELINE;25.58333333;31.97916667
DE;LU;GAS;GAS_PIPELINE;1;1.25
DE;NL;GAS;GAS_PIPELINE;50.95833333;63.69791667
DE;NO;GAS;GAS_SUBSEA;23.99583333;29.99479167
DE;PL;GAS;GAS_PIPELINE;13.58333333;16.97916667
DE;SE;GAS;GAS_SUBSEA;0;20
DK;BE;GAS;GAS_SUBSEA;0;20
DK;DE;GAS;GAS_PIPELINE;5.166666667;6.458333333
DK;GB;GAS;GAS_SUBSEA;0;20
DK;NL;GAS;GAS_SUBSEA;0;20
DK;NO;GAS;GAS_SUBSEA;16.5;20.625
DK;PL;GAS;GAS_SUBSEA;13.41666667;16.77083333
DK;SE;GAS;GAS_SUBSEA;5.670833333;7.088541667
EE;FI;GAS;GAS_SUBSEA;3.75;4.6875
EE;LV;GAS;GAS_PIPELINE;6.875;8.59375
EE;SE;GAS;GAS_SUBSEA;0;20
ES;FR;GAS;GAS_PIPELINE;9.333333333;11.66666667
ES;PT;GAS;GAS_PIPELINE;6;7.5
FI;EE;GAS;GAS_SUBSEA;3.75;4.6875
FI;SE;GAS;GAS_SUBSEA;0;20
FR;BE;GAS;GAS_PIPELINE;35;43.75
FR;CH;GAS;GAS_PIPELINE;9.291666667;11.61458333
FR;DE;GAS;GAS_PIPELINE;25.58333333;31.97916667
FR;ES;GAS;GAS_PIPELINE;9.333333333;11.66666667
FR;GB;GAS;GAS_SUBSEA;0;20
FR;IE;GAS;GAS_SUBSEA;0;20
FR;IT;GAS;GAS_PIPELINE;0;20
FR;LU;GAS;GAS_PIPELINE;0;20
FR;NO;GAS;GAS_SUBSEA;23.75;29.6875
GB;BE;GAS;GAS_SUBSEA;33.45833333;41.82291667
GB;DK;GAS;GAS_SUBSEA;0;20
GB;FR;GAS;GAS_SUBSEA;0;20
GB;IE;GAS;GAS_SUBSEA;16.12083333;20.15104167
GB;NL;GAS;GAS_SUBSEA;20.58333333;25.72916667
GB;NO;GAS;GAS_SUBSEA;62.4625;78.078125
GR;AL;GAS;GAS_PIPELINE;0;20
GR;BG;GAS;GAS_PIPELINE;4.875;6.09375
GR;IT;GAS;GAS_SUBSEA;20.58333333;25.72916667
GR;MK;GAS;GAS_PIPELINE;0;20
HR;BA;GAS;GAS_PIPELINE;0;20
HR;HU;GAS;GAS_PIPELINE;3.25;4.0625
HR;IT;GAS;GAS_SUBSEA;0;20
HR;RS;GAS;GAS_PIPELINE;0;20
HR;SI;GAS;GAS_PIPELINE;2.25;2.8125
HU;AT;GAS;GAS_PIPELINE;6.375;7.96875
HU;HR;GAS;GAS_PIPELINE;3.25;4.0625
HU;RO;GAS;GAS_PIPELINE;3.208333333;4.010416667
HU;RS;GAS;GAS_PIPELINE;10.25;12.8125
HU;SI;GAS;GAS_PIPELINE;0;20
HU;SK;GAS;GAS_PIPELINE;5.375;6.71875
IE;FR;GAS;GAS_SUBSEA;0;20
IE;GB;GAS;GAS_SUBSEA;16.12083333;20.15104167
IT;AL;GAS;GAS_SUBSEA;0;20
IT;AT;GAS;GAS_PIPELINE;48.91666667;61.14583333
IT;CH;GAS;GAS_PIPELINE;26.54166667;33.17708333
IT;FR;GAS;GAS_PIPELINE;0;20
IT;GR;GAS;GAS_SUBSEA;20.58333333;25.72916667
IT;HR;GAS;GAS_SUBSEA;0;20
IT;ME;GAS;GAS_SUBSEA;0;20
IT;SI;GAS;GAS_PIPELINE;1.166666667;1.458333333
LT;LV;GAS;GAS_PIPELINE;3.75;4.6875
LT;PL;GAS;GAS_PIPELINE;2.416666667;3.020833333
LT;SE;GAS;GAS_SUBSEA;0;20
LU;BE;GAS;GAS_PIPELINE;2.041666667;2.552083333
LU;DE;GAS;GAS_PIPELINE;1;1.25
LU;FR;GAS;GAS_PIPELINE;0;20
LV;EE;GAS;GAS_PIPELINE;6.875;8.59375
LV;LT;GAS;GAS_PIPELINE;3.75;4.6875
LV;SE;GAS;GAS_SUBSEA;0;20
ME;AL;GAS;GAS_PIPELINE;0;20
ME;BA;GAS;GAS_PIPELINE;0;20
ME;IT;GAS;GAS_SUBSEA;0;20
ME;RS;GAS;GAS_PIPELINE;0;20
MK;AL;GAS;GAS_PIPELINE;0;20
MK;BG;GAS;GAS_PIPELINE;1.141666667;1.427083333
MK;GR;GAS;GAS_PIPELINE;0;20
MK;RS;GAS;GAS_PIPELINE;0;20
NL;BE;GAS;GAS_PIPELINE;57.79166667;72.23958333
NL;DE;GAS;GAS_PIPELINE;50.95833333;63.69791667
NL;DK;GAS;GAS_SUBSEA;0;20
NL;GB;GAS;GAS_SUBSEA;20.58333333;25.72916667
NL;NO;GAS;GAS_SUBSEA;61.72916667;77.16145833
NO;BE;GAS;GAS_SUBSEA;20.33333333;25.41666667
NO;DE;GAS;GAS_SUBSEA;23.99583333;29.99479167
NO;DK;GAS;GAS_SUBSEA;16.5;20.625
NO;FR;GAS;GAS_SUBSEA;23.75;29.6875
NO;GB;GAS;GAS_SUBSEA;62.4625;78.078125
NO;NL;GAS;GAS_SUBSEA;61.72916667;77.16145833
NO;SE;GAS;GAS_PIPELINE;0;20
PL;CZ;GAS;GAS_PIPELINE;1.166666667;1.458333333
PL;DE;GAS;GAS_PIPELINE;13.58333333;16.97916667
PL;DK;GAS;GAS_SUBSEA;13.41666667;16.77083333
PL;LT;GAS;GAS_PIPELINE;2.416666667;3.020833333
PL;SE;GAS;GAS_SUBSEA;0;20
PL;SK;GAS;GAS_PIPELINE;7.25;9.0625
PT;ES;GAS;GAS_PIPELINE;6;7.5
RO;BG;GAS;GAS_PIPELINE;10.79166667;13.48958333
RO;HU;GAS;GAS_PIPELINE;3.208333333;4.010416667
RO;RS;GAS;GAS_PIPELINE;0;20
RS;AL;GAS;GAS_PIPELINE;0;20
RS;BA;GAS;GAS_PIPELINE;0.75;0.9375
RS;BG;GAS;GAS_PIPELINE;16.70833333;20.88541667
RS;HR;GAS;GAS_PIPELINE;0;20
RS;HU;GAS;GAS_PIPELINE;10.25;12.8125
RS;ME;GAS;GAS_PIPELINE;0;20
RS;MK;GAS;GAS_PIPELINE;0;20
RS;RO;GAS;GAS_PIPELINE;0;20
SE;DE;GAS;GAS_SUBSEA;0;20
SE;DK;GAS;GAS_SUBSEA;5.670833333;7.088541667
SE;EE;GAS;GAS_SUBSEA;0;20
SE;FI;GAS;GAS_SUBSEA;0;20
SE;LT;GAS;GAS_SUBSEA;0;20
SE;LV;GAS;GAS_SUBSEA;0;20
SE;NO;GAS;GAS_PIPELINE;0;20
SE;PL;GAS;GAS_SUBSEA;0;20
SI;AT;GAS;GAS_PIPELINE;4.708333333;5.885416667
SI;HR;GAS;GAS_PIPELINE;2.25;2.8125
SI;HU;GAS;GAS_PIPELINE;0;20
SI;IT;GAS;GAS_PIPELINE;1.166666667;1.458333333
SK;AT;GAS;GAS_PIPELINE;65.41666667;81.77083333
SK;CZ;GAS;GAS_PIPELINE;51.91666667;64.89583333
SK;HU;GAS;GAS_PIPELINE;5.375;6.71875
SK;PL;GAS;GAS_PIPELINE;7.25;9.0625
AL;GR;H2;H2_RETROFITTED;0;0
AL;IT;H2;H2_SUBSEA_RETRO;0;0
AL;ME;H2;H2_RETROFITTED;0;0
AL;MK;H2;H2_RETROFITTED;0;0
AL;RS;H2;H2_RETROFITTED;0;0
AT;CH;H2;H2_RETROFITTED;0;0
AT;CZ;H2;H2_RETROFITTED;0;0
AT;DE;H2;H2_RETROFITTED;0;8.870772947
AT;HU;H2;H2_RETROFITTED;0;4.003623188
AT;IT;H2;H2_RETROFITTED;0;13
AT;SI;H2;H2_RETROFITTED;0;2.956924316
AT;SK;H2;H2_RETROFITTED;0;13
BA;HR;H2;H2_RETROFITTED;0;0
BA;ME;H2;H2_RETROFITTED;0;0
BA;RS;H2;H2_RETROFITTED;0;0.471014493
BE;DE;H2;H2_RETROFITTED;0;11.38285024
BE;DK;H2;H2_SUBSEA_RETRO;0;0
BE;FR;H2;H2_RETROFITTED;0;13
BE;GB;H2;H2_SUBSEA_RETRO;0;13
BE;LU;H2;H2_RETROFITTED;0;1.282206119
BE;NL;H2;H2_RETROFITTED;0;13
BE;NO;H2;H2_SUBSEA_RETRO;0;12.76972625
BG;GR;H2;H2_RETROFITTED;0;3.061594203
BG;MK;H2;H2_RETROFITTED;0;0.716988728
BG;RO;H2;H2_RETROFITTED;0;6.777375201
BG;RS;H2;H2_RETROFITTED;0;10.4931562
CH;AT;H2;H2_RETROFITTED;0;0
CH;DE;H2;H2_RETROFITTED;0;9.080112721
CH;FR;H2;H2_RETROFITTED;0;5.835346216
CH;IT;H2;H2_RETROFITTED;0;13
CZ;AT;H2;H2_RETROFITTED;0;0
CZ;DE;H2;H2_RETROFITTED;0;13
CZ;PL;H2;H2_RETROFITTED;0;0.732689211
CZ;SK;H2;H2_RETROFITTED;0;13
DE;AT;H2;H2_RETROFITTED;0;8.870772947
DE;BE;H2;H2_RETROFITTED;0;11.38285024
DE;CH;H2;H2_RETROFITTED;0;9.080112721
DE;CZ;H2;H2_RETROFITTED;0;13
DE;DK;H2;H2_RETROFITTED;0;3.244766506
DE;FR;H2;H2_RETROFITTED;0;13
DE;LU;H2;H2_RETROFITTED;0;0.628019324
DE;NL;H2;H2_RETROFITTED;0;13
DE;NO;H2;H2_SUBSEA_RETRO;0;13
DE;PL;H2;H2_RETROFITTED;0;8.530595813
DE;SE;H2;H2_SUBSEA_RETRO;0;0
DK;BE;H2;H2_SUBSEA_RETRO;0;0
DK;DE;H2;H2_RETROFITTED;0;3.244766506
DK;GB;H2;H2_SUBSEA_RETRO;0;0
DK;NL;H2;H2_SUBSEA_RETRO;0;0
DK;NO;H2;H2_SUBSEA_RETRO;0;10.36231884
DK;PL;H2;H2_SUBSEA_RETRO;0;8.425925926
DK;SE;H2;H2_SUBSEA_RETRO;0;3.561392915
EE;FI;H2;H2_SUBSEA_RETRO;0;2.355072464
EE;LV;H2;H2_RETROFITTED;0;4.31763285
EE;SE;H2;H2_SUBSEA_RETRO;0;0
ES;FR;H2;H2_RETROFITTED;0;5.861513688
ES;PT;H2;H2_RETROFITTED;0;3.768115942
FI;EE;H2;H2_SUBSEA_RETRO;0;2.355072464
FI;SE;H2;H2_SUBSEA_RETRO;0;0
FR;BE;H2;H2_RETROFITTED;0;13
FR;CH;H2;H2_RETROFITTED;0;5.835346216
FR;DE;H2;H2_RETROFITTED;0;13
FR;ES;H2;H2_RETROFITTED;0;5.861513688
FR;GB;H2;H2_SUBSEA_RETRO;0;0
FR;IE;H2;H2_SUBSEA_RETRO;0;0
FR;IT;H2;H2_RETROFITTED;0;0
FR;LU;H2;H2_RETROFITTED;0;0
FR;NO;H2;H2_SUBSEA_RETRO;0;13
GB;BE;H2;H2_SUBSEA_RETRO;0;13
GB;DK;H2;H2_SUBSEA_RETRO;0;0
GB;FR;H2;H2_SUBSEA_RETRO;0;0
GB;IE;H2;H2_SUBSEA_RETRO;0;10.12419485
GB;NL;H2;H2_SUBSEA_RETRO;0;12.92673108
GB;NO;H2;H2_SUBSEA_RETRO;0;13
GR;AL;H2;H2_RETROFITTED;0;0
