{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
5107;0.00017638;0.0;0.00050575;0.00011748396343899057;0.00011415525114155251;0.00370523;0.2931;0.0;0.42528736;0.64862298;0.0;0.0;0.0
5108;0.00019883;0.0;0.00044042;8.811297257924293e-05;0.00011415525114155251;0.0;0.2909;0.0;0.54342273;0.68471035;0.0;0.0;0.0
5109;0.00018932;0.0;0.00039193;5.874198171949529e-05;0.00011415525114155251;0.0;0.2817;0.0;0.47318008;0.68091168;0.0;0.0;0.0
5110;0.00017813;0.0;0.00035714;3.759486830047698e-05;0.00011415525114155251;0.0;0.2766;0.0;0.41315453;0.52611586;0.0;0.0;0.0
5111;0.00016112;0.0;0.00032966;2.3496792687798115e-05;0.00011415525114155251;0.0;0.2826;0.0;0.24776501;0.54226021;0.0;0.0;0.0
5112;0.00014382;0.0;0.00030451;9.398717075119246e-06;0.00011415525114155251;0.0;0.3069;0.0;0.15644955;0.37606838;0.0;0.0;0.0
5113;0.00013054;0.0;0.00027964;5.874198171949529e-06;0.00011415525114155251;0.0;0.3401;0.0;0.100894;0.22507123;0.0;0.0;0.0
5114;0.00012094;0.0;0.00025477;2.3496792687798115e-06;0.00011415525114155251;0.0;0.3708;0.0;0.08109834;0.26590693;0.0;0.0;0.0
5115;0.00011534;0.0;0.00022593;1.1748396343899057e-06;0.00011415525114155251;0.0;0.3918;0.0;0.07407407;0.26780627;0.0;0.0;0.0
5116;0.00011159;0.0;0.00020367;1.409807561267887e-05;0.00011415525114155251;0.0;0.4197;0.0;0.06257982;0.2668566;0.0;0.0;0.0
5117;9.6092e-05;0.0;0.00027369;3.759486830047698e-05;0.00011415525114155251;0.00164677;0.4773;0.0;0.06960409;0.2640076;0.0;0.0;0.0
5118;8.679e-05;0.0;0.00038869;9.398717075119246e-05;0.00011415525114155251;0.04528613;0.5139;0.0;0.12260536;0.35422602;0.0;0.080808;0.4138569150263817
5119;9.2245e-05;0.0;0.00052648;0.0001821001433304354;0.00011415525114155251;0.17538082;0.5177;0.0;0.21902937;0.47198481;0.0;0.28296171;0.7376911329356667
5120;0.00010068;0.0;0.00065842;0.00015860335064263727;0.00011415525114155251;0.34129271;0.5179;0.0;0.21072797;0.54415954;0.0;0.50245371;0.9564680121883777
5121;0.00010741;0.0;0.00077359;0.00014685495429873823;0.00011415525114155251;0.48744339;0.5176;0.0;0.1366539;0.60208927;0.0;0.70475229;1.0512229304884673
5122;0.00011733;0.0;0.00085722;0.0001644775488145868;0.00011415525114155251;0.59118979;0.5114;0.0;0.10664112;0.6305793;0.0;0.87865886;1.1138081017915018
5123;0.0001223;0.0;0.0009121;0.00018797434150238492;0.00011415525114155251;0.66241252;0.5045;0.0;0.09067688;0.64672365;0.0;0.90689486;1.126698463392548
5124;0.00012588;0.0;0.00094157;0.00020677177565262342;0.00011415525114155251;0.69575957;0.496;0.0;0.08429119;0.6362773;0.0;1.0;1.100365431227938
5125;0.00012241;0.0;0.00093634;0.00018797434150238492;0.00011415525114155251;0.6788802;0.4866;0.0;0.08301405;0.50522317;0.0;0.944658;1.1168810071260484
5126;0.00011979;0.0;0.00090489;0.00019032402077116473;0.00011415525114155251;0.60559901;0.4744;0.0;0.08045977;0.49287749;0.0;0.79531029;1.0572090154927758
5127;0.00012378;0.0;0.00084902;0.00021382081345896285;0.00011415525114155251;0.50843969;0.4618;0.0;0.13282248;0.51946819;0.0;0.49316057;0.9410770963367351
5128;0.00012826;0.0;0.00077602;0.00022321953053408208;0.00011415525114155251;0.35981886;0.4592;0.0;0.20689655;0.51566952;0.0;0.29848371;0.7941656063253252
5129;0.00013182;0.0;0.0006795;0.00022321953053408208;0.00011415525114155251;0.19102511;0.4487;0.0;0.27330779;0.58879392;0.0;0.07617257;0.19931404592176247
5130;0.00014292;0.0;0.00054559;0.0001644775488145868;0.00011415525114155251;0.05763689;0.4039;0.0;0.30587484;0.64007597;0.0;0.0;0.0
5131;0.00015363;0.0;0.00044916;0.00011748396343899057;0.00011415525114155251;0.00370523;0.3598;0.0;0.32886335;0.67711301;0.0;0.0;0.0
5132;0.00018416;0.0;0.00038959;8.811297257924293e-05;0.00011415525114155251;0.0;0.325;0.0;0.45019157;0.69325736;0.0;0.0;0.0
5133;0.000182;0.0;0.00035156;5.874198171949529e-05;0.00011415525114155251;0.0;0.315;0.0;0.41187739;0.70275404;0.0;0.0;0.0
5134;0.00017434;0.0;0.00032065;3.759486830047698e-05;0.00011415525114155251;0.0;0.3169;0.0;0.28097063;0.66476733;0.0;0.0;0.0
5135;0.00015795;0.0;0.00028334;2.3496792687798115e-05;0.00011415525114155251;0.0;0.3057;0.0;0.14687101;0.5954416;0.0;0.0;0.0
5136;0.00013697;0.0;0.00025179;9.398717075119246e-06;0.00011415525114155251;0.0;0.3196;0.0;0.06704981;0.62203229;0.0;0.0;0.0
5137;0.00012377;0.0;0.00022269;5.874198171949529e-06;0.00011415525114155251;0.0;0.372;0.0;0.06832695;0.59449193;0.0;0.0;0.0
5138;0.00011361;0.0;0.0001934;2.3496792687798115e-06;0.00011415525114155251;0.0;0.3966;0.0;0.07215837;0.5982906;0.0;0.0;0.0
5139;0.00010905;0.0;0.00016032;1.1748396343899057e-06;0.00011415525114155251;0.0;0.4193;0.0;0.07215837;0.6039886;0.0;0.0;0.0
5140;0.00011008;0.0;0.00013572;1.409807561267887e-05;0.00011415525114155251;0.0;0.424;0.0;0.05938697;0.58689459;0.0;0.0;0.0
5141;0.00010625;0.0;0.00021584;3.759486830047698e-05;0.00011415525114155251;0.00164677;0.4453;0.0;0.06130268;0.57834758;0.0;0.0;0.0
5142;0.00011687;0.0;0.00033993;9.398717075119246e-05;0.00011415525114155251;0.04610951;0.4726;0.0;0.15581098;0.5631529;0.0;0.06480686;0.47647772680731676
5143;0.00013864;0.0;0.00049476;0.0001821001433304354;0.00011415525114155251;0.1811445;0.4733;0.0;0.1890166;0.57359924;0.0;0.25845857;0.7874647884967121
5144;0.00015779;0.0;0.00064391;0.00015860335064263727;0.00011415525114155251;0.35529024;0.4702;0.0;0.16475096;0.68566002;0.0;0.50230886;0.9760768681004657
5145;0.00016689;0.0;0.00076295;0.00014685495429873823;0.00011415525114155251;0.51379168;0.4609;0.0;0.12643678;0.64007597;0.0;0.69378771;1.0942093165671478
5146;0.00017593;0.0;0.00084686;0.0001644775488145868;0.00011415525114155251;0.62618361;0.4493;0.0;0.100894;0.59734093;0.0;0.80487086;1.1589648136314443
5147;0.00018552;0.0;0.00089876;0.00018797434150238492;0.00011415525114155251;0.69205434;0.4319;0.0;0.08556833;0.59639126;0.0;0.93945429;1.1731188786194906
5148;0.00018884;0.0;0.00092445;0.00020677177565262342;0.00011415525114155251;0.70358172;0.4083;0.0;0.09323116;0.5954416;0.0;0.96955114;1.1445874580556974
5149;0.00019795;0.0;0.00091904;0.00018797434150238492;0.00011415525114155251;0.68876081;0.3799;0.0;0.09195402;0.63532764;0.0;0.839904;1.1404051978207614
5150;0.0001939;0.0;0.00089092;0.00019032402077116473;0.00011415525114155251;0.6113627;0.3547;0.0;0.16411239;0.62773029;0.0;0.72788486;1.101594549457754
5151;0.00018856;0.0;0.00084082;0.00021382081345896285;0.00011415525114155251;0.50391107;0.3338;0.0;0.20561941;0.60873694;0.0;0.50149543;0.9993731284543474
5152;0.00018747;0.0;0.00076746;0.00022321953053408208;0.00011415525114155251;0.34664471;0.3326;0.0;0.2458493;0.59354226;0.0;0.28861114;0.7742116771056852
